Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,821.0,832.0,832.0,812.0,434250.0,-0.0097,1.0611860226856813,0.001416123151313447
2002-02-22,797.0,818.0,818.0,782.0,301910.0,-0.0292,1.0567891985898366,0.0013394868284218096
2002-02-25,827.0,802.0,827.0,802.0,435320.0,0.037599999999999995,1.0973098067556084,0.0012260256772328771
2002-02-26,842.0,832.0,862.0,827.0,1100000.0,0.0181,1.1523605552598757,0.0013557321721012843
2002-02-27,852.0,842.0,852.0,837.0,2710000.0,0.011899999999999999,1.1582297944424575,0.0014784464698562488
2002-02-28,792.0,862.0,862.0,792.0,814580.0,-0.0704,1.1999620584168407,0.001464489602680811
2002-03-01,807.0,802.0,812.0,802.0,637860.0,0.0189,1.2216684611139086,0.001253291035129348
2002-03-04,862.0,823.0,867.0,823.0,431020.0,0.0682,1.2408033601203143,0.001397647431049567
2002-03-05,862.0,862.0,877.0,862.0,1550000.0,0.0,1.3002100739035716,0.0018130811260923788
2002-03-06,842.0,862.0,862.0,822.0,2050000.0,-0.0232,1.2777767951977796,0.0017941869222744661
2002-03-07,847.0,852.0,852.0,842.0,1340000.0,0.0059,1.2725081355245218,0.0015608218917468855
2002-03-08,812.0,847.0,847.0,812.0,1830000.0,-0.041299999999999996,1.2711998872522023,0.0015819064515024562
2002-03-11,789.0,812.0,812.0,782.0,1130000.0,-0.028300000000000002,1.225624441135068,0.0013559060686722522
2002-03-12,733.0,782.0,782.0,728.0,2400000.0,-0.071,1.2330595666219215,0.00106976569231798
2002-03-13,763.0,753.0,763.0,743.0,469120.0,0.0409,1.1574597120133405,0.000713952370740077
2002-03-14,763.0,763.0,773.0,753.0,517190.00000000006,0.0,1.0755289744714271,0.000841019518589991
2002-03-15,773.0,769.0,773.0,763.0,993280.0,0.0131,0.9984798960947585,0.0008890318274779631
2002-03-18,743.0,782.0,782.0,738.0,1210000.0,-0.0388,0.9955996068897907,0.0008521321608803561
2002-03-19,768.0,739.0,768.0,723.0,1540000.0,0.0336,0.948725744771937,0.0008141099639586208
2002-03-20,792.0,768.0,807.0,768.0,2950000.0,0.0313,0.894276672424333,0.0009797217308598935
2002-03-22,797.0,792.0,797.0,791.0,2410000.0,0.0063,0.8935543730120157,0.0011029280959541957
2002-03-25,802.0,797.0,802.0,792.0,331060.0,0.0063,0.8988887632470247,0.0011110454768715897
2002-03-26,792.0,802.0,802.0,787.0,745020.0,-0.0125,0.875673863184595,0.0012155410859333827
2002-03-27,777.0,792.0,792.0,777.0,134810.0,-0.0189,0.9385019613393797,0.0010703582095685912
2002-03-28,768.0,777.0,782.0,768.0,349670.0,-0.0116,0.9498872986225947,0.0009617472546765978
2002-04-02,782.0,743.0,784.0,743.0,1040000.0,0.0182,0.9890539803820636,0.0009872530591041422
2002-04-03,792.0,782.0,792.0,773.0,1290000.0,0.0128,1.0127168854976427,0.0011680697298546755
2002-04-04,787.0,792.0,792.0,787.0,218450.0,-0.0063,1.0091713074115267,0.0013447643810159846
2002-04-05,787.0,792.0,792.0,787.0,1710000.0,0.0,0.9527798129110601,0.0010845872105431464
2002-04-08,777.0,787.0,787.0,773.0,1560000.0,-0.0127,0.8421691925446011,0.0013763384154057633
2002-04-09,782.0,777.0,792.0,773.0,545070.0,0.0064,0.8796738265484719,0.0012606646381434262
2002-04-10,822.0,782.0,822.0,782.0,780210.0,0.0512,0.8219164287085826,0.0014539778957322086
2002-04-11,822.0,822.0,842.0,822.0,997840.0,0.0,0.8865986170978526,0.001608694742983836
2002-04-12,812.0,807.0,817.0,802.0,1580000.0,-0.012199999999999999,0.8631535343575364,0.0015395759665611816
2002-04-15,817.0,837.0,837.0,808.0,2500000.0,0.0062,0.8293786736867206,0.0015296366871008489
2002-04-16,822.0,817.0,818.0,812.0,4030000.0000000005,0.0060999999999999995,0.8276011125690336,0.0015598193027010893
2002-04-17,837.0,822.0,842.0,822.0,1760000.0,0.0182,0.8247566676896378,0.001554173905721444
2002-04-18,832.0,837.0,842.0,832.0,551160.0,-0.006,0.8663879100440424,0.0017005540522721837
2002-04-19,822.0,832.0,832.0,822.0,440630.0,-0.012,0.8690792940698531,0.0016142678529657776
2002-04-22,827.0,822.0,832.0,812.0,799510.0,0.0060999999999999995,0.853446579565233,0.00162208203954414
2002-04-23,828.0,827.0,842.0,827.0,942670.0,0.0012,0.7200544324898838,0.0014199486432946585
2002-04-24,797.0,822.0,822.0,797.0,941610.0,-0.0374,0.7234603575769041,0.001463311749010798
2002-04-25,784.0,797.0,802.0,773.0,1050000.0,-0.0163,0.7277443312488354,0.0013123020531805839
2002-04-26,782.0,790.0,792.0,768.0,434410.0,-0.0026,0.7188997450992808,0.0012684623551094893
2002-04-29,763.0,773.0,780.0,753.0,364450.0,-0.024300000000000002,0.7176136332215631,0.001099405864273212
2002-04-30,763.0,763.0,763.0,743.0,2310000.0,0.0,0.7942368668237431,0.000940633541351214
2002-05-02,743.0,758.0,763.0,738.0,1310000.0,-0.0262,0.7994839379780014,0.0009074642694203061
2002-05-03,742.0,753.0,753.0,742.0,443230.0,-0.0013,0.7336210806465414,0.000702209784673781
2002-05-06,743.0,742.0,753.0,738.0,798920.0,0.0013,0.7261016189740384,0.0006810148053212308
2002-05-07,791.0,792.0,792.0,773.0,2390000.0,0.0646,0.7192644427609082,0.0007567416329616584
2002-05-08,807.0,791.0,812.0,782.0,807790.0,0.0202,0.6877255792175552,0.0010500702313032358
2002-05-09,822.0,812.0,822.0,812.0,1540000.0,0.018600000000000002,0.7088307932513165,0.001136482572536581
2002-05-10,822.0,822.0,832.0,817.0,2130000.0,0.0,0.6868157786719148,0.0012703057114454483
2002-05-13,811.0,817.0,817.0,810.0,1350000.0,-0.0134,0.6870891620823615,0.0012662482492321865
2002-05-14,817.0,811.0,822.0,802.0,777330.0,0.0074,0.6570978752617541,0.0011131523386870195
2002-05-15,811.0,822.0,822.0,807.0,2430000.0,-0.0073,0.6637314133968235,0.0011764313862842382
2002-05-16,792.0,811.0,812.0,792.0,3380000.0,-0.023399999999999997,0.6185892109206705,0.0012682934545103833
2002-05-17,792.0,817.0,817.0,792.0,2200000.0,0.0,0.6027842528594344,0.0011826707348244559
2002-05-20,792.0,792.0,802.0,782.0,2330000.0,0.0,0.6016012703647458,0.0011612858038581029
2002-05-21,802.0,792.0,821.0,792.0,1900000.0,0.0126,0.5419761444586151,0.001055831085859643
2002-05-22,777.0,802.0,817.0,777.0,279440.0,-0.031200000000000002,0.5355164630207739,0.0010710220349810081
2002-05-23,787.0,782.0,787.0,763.0,1190000.0,0.0129,0.5764790666107815,0.0009193714422281228
2002-05-24,817.0,802.0,817.0,792.0,1030000.0,0.0381,0.5664631654024678,0.001101038790743432
2002-05-27,782.0,792.0,807.0,782.0,1080000.0,-0.042800000000000005,0.577774418422426,0.0012832740047344668
2002-05-28,761.0,782.0,787.0,753.0,3230000.0,-0.0269,0.5948892029301934,0.001094412666630876
2002-05-29,768.0,759.0,782.0,753.0,601700.0,0.0092,0.6213756000620478,0.0010233778127138628
2002-05-30,792.0,768.0,797.0,768.0,2060000.0,0.0313,0.6204589360352982,0.0009251518188642526
2002-05-31,787.0,792.0,792.0,753.0,1160000.0,-0.0063,0.5919556376629229,0.0011462514991890586
2002-06-03,787.0,783.0,792.0,777.0,6040000.0,0.0,0.5865965684286296,0.001119614104652351
2002-06-04,778.0,782.0,783.0,777.0,374130.0,-0.011399999999999999,0.6031376319579929,0.0011589114769051778
2002-06-05,781.0,782.0,786.0,777.0,9010000.0,0.0039000000000000003,0.625234096639223,0.001080867759132488
2002-06-06,773.0,781.0,782.0,768.0,1880000.0,-0.0102,0.6247511620922821,0.0010895470741344774
2002-06-07,770.0,773.0,773.0,758.0,362650.0,-0.0039000000000000003,0.6285822418298789,0.000983805962582185
2002-06-10,787.0,768.0,787.0,768.0,1600000.0,0.022099999999999998,0.6304054452820478,0.0009714633644802708
2002-06-11,773.0,782.0,782.0,773.0,499780.0,-0.0178,0.6381393434676007,0.001075851676366798
2002-06-12,778.0,763.0,792.0,756.0,1060000.0,0.006500000000000001,0.6316655696195883,0.0010100227996789847
