Date,Value
1975-01-31,100.8299
1975-02-28,100.881
1975-03-31,100.9688
1975-04-30,101.0954
1975-05-31,101.2228
1975-06-30,101.3278
1975-07-31,101.4068
1975-08-31,101.4459
1975-09-30,101.4323
1975-10-31,101.3502
1975-11-30,101.2247
1975-12-31,101.105
1976-01-31,100.9966
1976-02-29,100.8585
1976-03-31,100.6384
1976-04-30,100.3348
1976-05-31,99.96058
1976-06-30,99.57386
1976-07-31,99.206
1976-08-31,98.8754
1976-09-30,98.59424
1976-10-31,98.36161
1976-11-30,98.164
1976-12-31,97.9786
1977-01-31,97.76969
1977-02-28,97.5811
1977-03-31,97.45251
1977-04-30,97.39567
1977-05-31,97.39565
1977-06-30,97.46637
1977-07-31,97.58879
1977-08-31,97.74919
1977-09-30,97.93033
1977-10-31,98.09338
1977-11-30,98.22702
1977-12-31,98.3269
1978-01-31,98.40171
1978-02-28,98.40182
1978-03-31,98.40569
1978-04-30,98.44006
1978-05-31,98.50636
1978-06-30,98.58656
1978-07-31,98.66009
1978-08-31,98.71477
1978-09-30,98.76072
1978-10-31,98.8223
1978-11-30,98.90572
1978-12-31,99.00341
1979-01-31,99.10313
1979-02-28,99.18631
1979-03-31,99.24937
1979-04-30,99.31023
1979-05-31,99.39272
1979-06-30,99.52166
1979-07-31,99.72445
1979-08-31,100.0
1979-09-30,100.3441
1979-10-31,100.7392
1979-11-30,101.1417
1979-12-31,101.5271
1980-01-31,101.8734
1980-02-29,102.1675
1980-03-31,102.4166
1980-04-30,102.6382
1980-05-31,102.845
1980-06-30,103.0554
1980-07-31,103.2657
1980-08-31,103.4582
1980-09-30,103.6011
1980-10-31,103.6659
1980-11-30,103.629
1980-12-31,103.4921
1981-01-31,103.2892
1981-02-28,103.0514
1981-03-31,102.8178
1981-04-30,102.5891
1981-05-31,102.3531
1981-06-30,102.1125
1981-07-31,101.8904
1981-08-31,101.6961
1981-09-30,101.5089
1981-10-31,101.2962
1981-11-30,101.0409
1981-12-31,100.7379
1982-01-31,100.3811
1982-02-28,99.98057
1982-03-31,99.55806
1982-04-30,99.1553
1982-05-31,98.80173
1982-06-30,98.51738
1982-07-31,98.31231
1982-08-31,98.20502
1982-09-30,98.20136
1982-10-31,98.29858
1982-11-30,98.50367
1982-12-31,98.81059
1983-01-31,99.17434
1983-02-28,99.5417
1983-03-31,99.88828
1983-04-30,100.1934
1983-05-31,100.4373
1983-06-30,100.6033
1983-07-31,100.6957
1983-08-31,100.7325
1983-09-30,100.7358
1983-10-31,100.7257
1983-11-30,100.727
1983-12-31,100.7425
1984-01-31,100.7606
1984-02-29,100.7547
1984-03-31,100.6955
1984-04-30,100.5563
1984-05-31,100.3051
1984-06-30,99.93388
1984-07-31,99.48862
1984-08-31,99.03927
1984-09-30,98.63412
1984-10-31,98.31159
1984-11-30,98.05776
1984-12-31,97.8532
1985-01-31,97.68959
1985-02-28,97.57691
1985-03-31,97.51726
1985-04-30,97.51427
1985-05-31,97.57144
1985-06-30,97.70554
1985-07-31,97.91198
1985-08-31,98.16361
1985-09-30,98.43945
1985-10-31,98.68622
1985-11-30,98.88244
1985-12-31,99.01389
1986-01-31,99.10528
1986-02-28,99.1609
1986-03-31,99.20888
1986-04-30,99.25253
1986-05-31,99.29814
1986-06-30,99.35571
1986-07-31,99.44167
1986-08-31,99.56779
1986-09-30,99.73568
1986-10-31,99.92402
1986-11-30,100.1121
1986-12-31,100.3189
1987-01-31,100.5349
1987-02-28,100.7434
1987-03-31,100.9335
1987-04-30,101.1023
1987-05-31,101.2345
1987-06-30,101.3421
1987-07-31,101.431
1987-08-31,101.5027
1987-09-30,101.5603
1987-10-31,101.5927
1987-11-30,101.601
1987-12-31,101.6044
1988-01-31,101.6131
1988-02-29,101.6156
1988-03-31,101.5969
1988-04-30,101.5323
1988-05-31,101.4216
1988-06-30,101.2782
1988-07-31,101.1275
1988-08-31,100.9866
1988-09-30,100.8736
1988-10-31,100.8012
1988-11-30,100.7595
1988-12-31,100.7377
1989-01-31,100.726
1989-02-28,100.7235
1989-03-31,100.7182
1989-04-30,100.7075
1989-05-31,100.6916
1989-06-30,100.6644
1989-07-31,100.6176
1989-08-31,100.5381
1989-09-30,100.4294
1989-10-31,100.3204
1989-11-30,100.2274
1989-12-31,100.1576
1990-01-31,100.1057
1990-02-28,100.0615
1990-03-31,100.0155
1990-04-30,99.96708
1990-05-31,99.90565
1990-06-30,99.80685
1990-07-31,99.67953
1990-08-31,99.5378
1990-09-30,99.37909
1990-10-31,99.23667
1990-11-30,99.13387
1990-12-31,99.08058
1991-01-31,99.0961
1991-02-28,99.16828
1991-03-31,99.25704
1991-04-30,99.32932
1991-05-31,99.36728
1991-06-30,99.37284
1991-07-31,99.35169
1991-08-31,99.30979
1991-09-30,99.2583
1991-10-31,99.20185
1991-11-30,99.15905
1991-12-31,99.14409
1992-01-31,99.15455
1992-02-29,99.1601
1992-03-31,99.14623
1992-04-30,99.10941
1992-05-31,99.04925
1992-06-30,98.96327
1992-07-31,98.85619
1992-08-31,98.7473
1992-09-30,98.65745
1992-10-31,98.57598
1992-11-30,98.5228
1992-12-31,98.5245
1993-01-31,98.5697
1993-02-28,98.64575
1993-03-31,98.7199
1993-04-30,98.78744
1993-05-31,98.83994
1993-06-30,98.87796
1993-07-31,98.91351
1993-08-31,98.94862
1993-09-30,98.99342
1993-10-31,99.07085
1993-11-30,99.18269
1993-12-31,99.32233
1994-01-31,99.49963
1994-02-28,99.71159
1994-03-31,99.96366
1994-04-30,100.2532
1994-05-31,100.5902
1994-06-30,100.9506
1994-07-31,101.2995
1994-08-31,101.6189
1994-09-30,101.8847
1994-10-31,102.075
1994-11-30,102.1863
1994-12-31,102.2239
1995-01-31,102.2035
1995-02-28,102.1351
1995-03-31,102.0283
1995-04-30,101.8912
1995-05-31,101.7463
1995-06-30,101.5982
1995-07-31,101.4609
1995-08-31,101.3454
1995-09-30,101.2497
1995-10-31,101.1615
1995-11-30,101.0662
1995-12-31,100.9548
1996-01-31,100.8427
1996-02-29,100.7581
1996-03-31,100.7112
1996-04-30,100.692
1996-05-31,100.669
1996-06-30,100.6328
1996-07-31,100.6005
1996-08-31,100.598
1996-09-30,100.6375
1996-10-31,100.7048
1996-11-30,100.7497
1996-12-31,100.7586
1997-01-31,100.7503
1997-02-28,100.716
1997-03-31,100.6388
1997-04-30,100.5437
1997-05-31,100.4515
1997-06-30,100.3802
1997-07-31,100.3277
1997-08-31,100.288
1997-09-30,100.2366
1997-10-31,100.1501
1997-11-30,100.0274
1997-12-31,99.88702
1998-01-31,99.76429
1998-02-28,99.66354
1998-03-31,99.55653
1998-04-30,99.39697
1998-05-31,99.16058
1998-06-30,98.85334
1998-07-31,98.50613
1998-08-31,98.15947
1998-09-30,97.87466
1998-10-31,97.69707
1998-11-30,97.6124
1998-12-31,97.60375
1999-01-31,97.6695
1999-02-28,97.81066
1999-03-31,98.02787
1999-04-30,98.30836
1999-05-31,98.63615
1999-06-30,98.9898
1999-07-31,99.33864
1999-08-31,99.65913
1999-09-30,99.93824
1999-10-31,100.1763
1999-11-30,100.3676
1999-12-31,100.4991
2000-01-31,100.5847
2000-02-29,100.6341
2000-03-31,100.638
2000-04-30,100.6117
2000-05-31,100.5764
2000-06-30,100.5302
2000-07-31,100.4778
2000-08-31,100.4231
2000-09-30,100.3696
2000-10-31,100.3159
2000-11-30,100.2635
2000-12-31,100.2146
2001-01-31,100.1578
2001-02-28,100.0855
2001-03-31,99.99196
2001-04-30,99.89285
2001-05-31,99.80521
2001-06-30,99.73638
2001-07-31,99.69129
2001-08-31,99.69801
2001-09-30,99.78051
2001-10-31,99.93795
2001-11-30,100.1487
2001-12-31,100.3792
2002-01-31,100.5936
2002-02-28,100.7653
2002-03-31,100.8579
2002-04-30,100.8641
2002-05-31,100.7842
2002-06-30,100.6236
2002-07-31,100.4133
2002-08-31,100.1807
2002-09-30,99.9325
2002-10-31,99.66649
2002-11-30,99.37177
2002-12-31,99.05404
2003-01-31,98.7235
2003-02-28,98.39399
2003-03-31,98.11992
2003-04-30,97.93573
2003-05-31,97.85412
2003-06-30,97.87459
2003-07-31,97.97038
2003-08-31,98.11174
2003-09-30,98.27669
2003-10-31,98.45649
2003-11-30,98.64682
2003-12-31,98.84158
2004-01-31,99.03265
2004-02-29,99.20551
2004-03-31,99.34232
2004-04-30,99.44875
2004-05-31,99.55228
2004-06-30,99.66382
2004-07-31,99.78643
2004-08-31,99.91254
2004-09-30,100.0246
2004-10-31,100.1123
2004-11-30,100.1695
2004-12-31,100.1986
2005-01-31,100.224
2005-02-28,100.2713
2005-03-31,100.3598
2005-04-30,100.4929
2005-05-31,100.6581
2005-06-30,100.8349
2005-07-31,101.0019
2005-08-31,101.1476
2005-09-30,101.2593
2005-10-31,101.3359
2005-11-30,101.3866
2005-12-31,101.4237
2006-01-31,101.4605
2006-02-28,101.5088
2006-03-31,101.5679
2006-04-30,101.6329
2006-05-31,101.6848
2006-06-30,101.7285
2006-07-31,101.7694
2006-08-31,101.8126
2006-09-30,101.869
2006-10-31,101.9369
2006-11-30,102.0031
2006-12-31,102.0594
2007-01-31,102.1075
2007-02-28,102.1511
2007-03-31,102.1845
2007-04-30,102.1942
2007-05-31,102.1634
2007-06-30,102.0848
2007-07-31,101.9748
2007-08-31,101.8409
2007-09-30,101.6878
2007-10-31,101.5179
2007-11-30,101.3208
2007-12-31,101.1103
2008-01-31,100.8974
2008-02-29,100.6755
2008-03-31,100.4486
2008-04-30,100.1938
2008-05-31,99.89391
2008-06-30,99.56168
2008-07-31,99.1899
2008-08-31,98.77829
2008-09-30,98.35627
2008-10-31,97.93932
2008-11-30,97.56329
2008-12-31,97.26029
2009-01-31,97.05712
2009-02-28,96.9761
2009-03-31,97.00551
2009-04-30,97.12003
2009-05-31,97.2801
2009-06-30,97.46098
2009-07-31,97.66297
2009-08-31,97.87267
2009-09-30,98.07874
2009-10-31,98.27193
2009-11-30,98.4469
2009-12-31,98.6081
2010-01-31,98.77056
2010-02-28,98.93443
2010-03-31,99.08437
2010-04-30,99.21131
2010-05-31,99.31784
2010-06-30,99.40952
2010-07-31,99.50163
2010-08-31,99.6084
2010-09-30,99.73548
2010-10-31,99.87735
2010-11-30,100.0242
2010-12-31,100.1658
2011-01-31,100.2867
2011-02-28,100.3613
2011-03-31,100.3794
2011-04-30,100.3424
2011-05-31,100.2742
2011-06-30,100.1912
2011-07-31,100.1152
2011-08-31,100.0723
2011-09-30,100.0759
2011-10-31,100.1101
2011-11-30,100.1491
2011-12-31,100.1784
2012-01-31,100.1791
2012-02-29,100.1565
2012-03-31,100.1117
2012-04-30,100.0693
2012-05-31,100.0462
2012-06-30,100.0505
2012-07-31,100.085
2012-08-31,100.1553
2012-09-30,100.2511
2012-10-31,100.3545
2012-11-30,100.4432
2012-12-31,100.5057
2013-01-31,100.5457
2013-02-28,100.5599
2013-03-31,100.5517
2013-04-30,100.5342
2013-05-31,100.5277
2013-06-30,100.5338
2013-07-31,100.5459
2013-08-31,100.5407
2013-09-30,100.5129
2013-10-31,100.4725
2013-11-30,100.4227
2013-12-31,100.3688
2014-01-31,100.3133
2014-02-28,100.2502
2014-03-31,100.1855
2014-04-30,100.1397
2014-05-31,100.1388
2014-06-30,100.1919
2014-07-31,100.2829
2014-08-31,100.3811
2014-09-30,100.4602
2014-10-31,100.5079
2014-11-30,100.5097
2014-12-31,100.4746
2015-01-31,100.4341
2015-02-28,100.4217
2015-03-31,100.4399
2015-04-30,100.4643
2015-05-31,100.4693
2015-06-30,100.4256
2015-07-31,100.3428
2015-08-31,100.2513
2015-09-30,100.176
2015-10-31,100.1271
2015-11-30,100.1005
2015-12-31,100.0733
2016-01-31,100.0267
2016-02-29,99.95781
2016-03-31,99.88105
2016-04-30,99.79507
2016-05-31,99.70219
2016-06-30,99.62238
2016-07-31,99.57427
2016-08-31,99.57345
2016-09-30,99.60883
2016-10-31,99.64989
2016-11-30,99.6673
2016-12-31,99.64957
2017-01-31,99.60117
2017-02-28,99.52946
2017-03-31,99.45521
2017-04-30,99.4186
2017-05-31,99.44373
2017-06-30,99.5239
2017-07-31,99.63468
2017-08-31,99.74225
2017-09-30,99.84106
2017-10-31,99.93503
2017-11-30,100.0157
2017-12-31,100.0687
2018-01-31,100.1051
2018-02-28,100.136
2018-03-31,100.156
2018-04-30,100.1732
