Date,Value
1980-12-31,2853.526
1981-12-31,2864.981
1982-12-31,2561.77
1983-12-31,2783.114
1984-12-31,2400.346
1985-12-31,1792.072
1986-12-31,2003.016
1987-12-31,2570.267
1988-12-31,2705.507
1989-12-31,2754.278
1990-12-31,3140.345
1991-12-31,3289.055
1992-12-31,3481.419
1993-12-31,3390.848
1994-12-31,3446.835
1995-12-31,3752.377
1996-12-31,3500.031
1997-12-31,3556.537
1998-12-31,3160.844
1999-12-31,3089.367
2000-12-31,3042.429
2001-12-31,2671.989
2002-12-31,2524.22
2003-12-31,3775.557
2004-12-31,4870.662
2005-12-31,5412.37
2006-12-31,5635.287
2007-12-31,6117.192
2008-12-31,5793.118
2009-12-31,5914.136
2010-12-31,7361.936
2011-12-31,8058.905
2012-12-31,7548.447
2013-12-31,6898.484
2014-12-31,6492.891
2015-12-31,5721.149
2016-12-31,5260.902
2017-12-31,5588.959
2018-12-31,5662.045
2019-12-31,5790.651
2020-12-31,5925.135
2021-12-31,6051.977
2022-12-31,6175.065
