Date,Close
2007-03-26,13.4
2007-03-27,13.95
2007-03-28,14.7
2007-03-29,14.6
2007-03-30,14.47
2007-04-02,14.6
2007-04-03,13.95
2007-04-04,13.55
2007-04-05,13.56
2007-04-09,13.35
2007-04-10,12.73
2007-04-11,13.34
2007-04-12,12.89
2007-04-13,12.4
2007-04-16,11.68
2007-04-17,11.9
2007-04-18,12.03
2007-04-19,13.0
2007-04-20,13.0
2007-04-23,13.25
2007-04-24,13.2
2007-04-25,13.13
2007-04-26,13.17
2007-04-27,13.17
2007-04-30,13.41
2007-05-01,13.42
2007-05-02,13.19
2007-05-03,13.1
2007-05-04,13.12
2007-05-07,13.2
2007-05-08,13.3
2007-05-09,12.95
2007-05-10,13.35
2007-05-11,12.76
2007-05-14,13.35
2007-05-15,13.95
2007-05-16,13.63
2007-05-17,14.15
2007-05-18,14.0
2007-05-21,13.81
2007-05-22,13.75
2007-05-23,13.72
2007-05-24,14.17
2007-05-25,13.95
2007-05-29,13.75
2007-05-30,13.54
2007-05-31,13.57
2007-06-01,13.42
2007-06-04,13.55
2007-06-05,13.68
2007-06-06,14.3
2007-06-07,15.79
2007-06-08,15.05
2007-06-11,14.7
2007-06-12,15.51
2007-06-13,14.75
2007-06-14,13.88
2007-06-15,13.65
2007-06-18,13.38
2007-06-19,12.9
2007-06-20,13.01
2007-06-21,15.08
2007-06-22,15.71
2007-06-25,15.97
2007-06-26,16.63
2007-06-27,15.62
2007-06-28,15.53
2007-06-29,16.18
2007-07-02,15.74
2007-07-03,15.45
2007-07-05,15.65
2007-07-06,15.31
2007-07-09,15.43
2007-07-10,16.67
2007-07-11,16.32
2007-07-12,15.49
2007-07-13,15.41
2007-07-16,15.63
2007-07-17,15.56
2007-07-18,16.87
2007-07-19,17.18
2007-07-20,17.7
2007-07-23,17.54
2007-07-24,18.18
2007-07-25,18.05
2007-07-26,19.4
2007-07-27,20.17
2007-07-30,19.46
2007-07-31,20.53
2007-08-01,21.81
2007-08-02,20.85
2007-08-03,22.61
2007-08-06,22.1
2007-08-07,20.72
2007-08-08,20.19
2007-08-09,23.42
2007-08-10,27.21
2007-08-13,26.09
2007-08-14,27.01
2007-08-15,28.8
2007-08-16,30.51
2007-08-17,30.15
2007-08-20,26.4
2007-08-21,25.13
2007-08-22,25.05
2007-08-23,23.15
2007-08-24,22.35
2007-08-27,23.36
2007-08-28,25.15
2007-08-29,24.1
2007-08-30,24.51
2007-08-31,23.65
2007-09-04,22.78
2007-09-05,24.2
2007-09-06,24.05
2007-09-07,25.85
2007-09-10,26.77
2007-09-11,24.95
2007-09-12,24.99
2007-09-13,24.85
2007-09-14,24.75
2007-09-17,25.34
2007-09-18,20.25
2007-09-19,20.29
2007-09-20,20.8
2007-09-21,19.9
2007-09-24,19.69
2007-09-25,19.9
2007-09-26,19.05
2007-09-27,18.76
2007-09-28,18.9
2007-10-01,18.45
2007-10-02,18.94
2007-10-03,19.1
2007-10-04,19.29
2007-10-05,17.9
2007-10-08,18.2
2007-10-09,17.0
2007-10-10,17.3
2007-10-11,18.5
2007-10-12,17.91
