Date,Open,High,Low,Close,Adj Close,Volume
2019-02-27,9550.000000,11560.000000,9308.000000,10601.000000,9975.980469,36519578
2019-02-28,10639.000000,10690.000000,10201.000000,10505.000000,9885.639648,10095110
2019-03-01,10535.000000,10550.000000,9800.000000,9853.000000,9272.081055,11159217
2019-03-04,9800.000000,9901.000000,9505.000000,9571.000000,9006.707031,15176782
2019-03-05,9551.000000,9555.000000,9250.000000,9333.000000,8782.739258,22398325
2019-03-06,9203.000000,10280.000000,9031.000000,10200.000000,9598.622070,17948441
2019-03-07,10157.000000,10479.000000,9860.000000,10160.000000,9560.980469,14862400
2019-03-08,10000.000000,11200.000000,9925.000000,10680.000000,10050.322266,9115092
2019-03-11,10889.000000,11470.000000,10485.000000,11295.000000,10629.062500,3538760
2019-03-12,11339.000000,11633.000000,11176.000000,11600.000000,10916.080078,4333763
2019-03-13,11616.000000,12357.000000,11507.000000,11878.000000,11177.689453,7796566
2019-03-14,11756.000000,12077.000000,11540.000000,11914.000000,11211.567383,7195000
2019-03-15,11956.000000,12500.000000,11799.000000,12478.000000,11742.314453,13940905
2019-03-18,12549.000000,12943.000000,12035.000000,12035.000000,11325.433594,12761983
2019-03-19,12035.000000,12392.000000,11950.000000,12004.000000,11296.260742,7303220
2019-03-20,11957.000000,12389.000000,11956.000000,12158.000000,11441.181641,5189871
2019-03-22,12000.000000,12098.000000,11780.000000,11780.000000,11085.467773,3993460
2019-03-25,11608.000000,11741.000000,11548.000000,11635.000000,10949.016602,3223197
2019-03-26,11647.000000,12086.000000,11556.000000,11813.000000,11116.522461,1494099
2019-03-27,11805.000000,12100.000000,11666.000000,11726.000000,11034.651367,1286770
2019-03-28,11656.000000,12100.000000,11632.000000,11888.000000,11187.100586,1467915
2019-03-29,11849.000000,12146.000000,11775.000000,12070.000000,11358.370117,1821088
2019-04-01,12070.000000,12499.000000,12042.000000,12150.000000,11433.653320,3681737
2019-04-02,12240.000000,12240.000000,11912.000000,11946.000000,11241.680664,5459456
2019-04-03,11946.000000,12130.000000,11900.000000,12019.000000,11310.376953,5801651
2019-04-04,11945.000000,12381.000000,11902.000000,12360.000000,11631.271484,2178458
2019-04-05,12390.000000,12545.000000,12325.000000,12467.000000,11731.962891,1615266
2019-04-08,12419.000000,12785.000000,12419.000000,12680.000000,11932.405273,656238
2019-04-09,12599.000000,12999.000000,12572.000000,12872.000000,12113.084961,3091341
2019-04-10,12900.000000,13195.000000,12820.000000,13110.000000,12337.052734,3318087
2019-04-11,13000.000000,13195.000000,12876.000000,13000.000000,12233.538086,2909856
2019-04-12,12948.000000,13191.000000,12905.000000,12989.000000,12223.186523,4110670
2019-04-15,12988.000000,12988.000000,12129.000000,12500.000000,11763.017578,2781565
2019-04-16,12550.000000,12820.000000,12462.000000,12638.000000,11892.880859,4349709
2019-04-17,12649.000000,12801.000000,12593.000000,12675.000000,11927.700195,1167308
2019-04-18,12675.000000,12748.000000,12387.000000,12689.000000,11940.874023,1564300
2019-04-23,12500.000000,12797.000000,12328.000000,12443.000000,11709.377930,2184868
2019-04-24,12450.000000,12500.000000,12136.000000,12226.000000,11505.171875,2562006
2019-04-25,12226.000000,12385.000000,12139.000000,12235.000000,11513.641602,2798190
2019-04-26,12399.000000,12534.000000,12051.000000,12471.000000,11735.727539,2797309
2019-04-29,12400.000000,12470.000000,12310.000000,12410.000000,11678.324219,1174495
2019-04-30,12400.000000,13010.000000,12376.000000,12845.000000,12087.676758,2492817
2019-05-02,12850.000000,12973.000000,12800.000000,12875.000000,12115.908203,1633326
2019-05-03,12820.000000,12965.000000,12810.000000,12900.000000,12139.434570,718736
2019-05-06,12800.000000,12994.000000,12697.000000,12900.000000,12139.434570,1382270
2019-05-07,12804.000000,12968.000000,12418.000000,12490.000000,11753.607422,2395394
2019-05-09,12491.000000,12597.000000,12200.000000,12550.000000,11810.069336,3554747
2019-05-10,12550.000000,12689.000000,12372.000000,12622.000000,11877.824219,1936872
2019-05-13,12630.000000,12840.000000,12552.000000,12700.000000,11951.225586,1712065
2019-05-14,12700.000000,12949.000000,12601.000000,12772.000000,12018.980469,3091007
2019-05-15,12840.000000,12849.000000,12505.000000,12795.000000,12040.625000,2544725
2019-05-16,12740.000000,12848.000000,12615.000000,12800.000000,12045.330078,1740076
2019-05-17,12574.000000,12874.000000,12574.000000,12817.000000,12061.328125,1897552
2019-05-20,12779.000000,12843.000000,12526.000000,12730.000000,11979.457031,1158029
2019-05-21,12686.000000,13068.000000,12556.000000,12985.000000,12219.422852,2693516
2019-05-22,12875.000000,13175.000000,12856.000000,13000.000000,12233.538086,2690407
2019-05-23,12998.000000,13049.000000,12760.000000,12765.000000,12012.393555,1870793
2019-05-24,12765.000000,12770.000000,12410.000000,12482.000000,11746.079102,2451957
2019-05-27,12500.000000,12801.000000,12411.000000,12450.000000,11715.965820,800878
2019-05-28,12412.000000,12532.000000,12352.000000,12390.000000,11659.502930,4233568
2019-05-29,12303.000000,12380.000000,12051.000000,12113.000000,11398.834961,2030707
2019-05-30,12101.000000,12473.000000,12101.000000,12300.000000,11574.809570,1918464
2019-05-31,12300.000000,12344.000000,12098.000000,12189.000000,11470.353516,1685457
2019-06-03,12250.000000,12483.000000,12101.000000,12274.000000,11550.341797,1002034
2019-06-04,12201.000000,12611.000000,12132.000000,12390.000000,11659.502930,2108827
2019-06-05,12390.000000,12569.000000,12159.000000,12210.000000,11490.115234,5822571
2019-06-06,12200.000000,12500.000000,12200.000000,12390.000000,11659.502930,1770915
2019-06-07,12300.000000,12662.000000,12236.000000,12503.000000,11765.840820,1460323
2019-06-10,12503.000000,12893.000000,12356.000000,12440.000000,11706.554688,2107953
2019-06-11,12400.000000,12679.000000,12228.000000,12577.000000,11835.477539,2000950
2019-06-12,12600.000000,12906.000000,12511.000000,12824.000000,12067.915039,1189031
2019-06-13,12824.000000,12991.000000,12648.000000,12723.000000,11972.870117,711141
2019-06-14,12689.000000,12968.000000,12507.000000,12800.000000,12045.330078,1382151
2019-06-18,12875.000000,13147.000000,12760.000000,13080.000000,12308.821289,3730573
2019-06-19,13100.000000,13849.000000,12849.000000,13056.000000,12286.236328,2264435
2019-06-20,13178.000000,13593.000000,12961.000000,13198.000000,12419.864258,5857048
2019-06-21,13198.000000,13458.000000,13084.000000,13458.000000,12664.535156,8531389
2019-06-24,13458.000000,13699.000000,13230.000000,13590.000000,12788.752930,1558484
2019-06-25,13551.000000,13571.000000,13300.000000,13354.000000,12566.666992,1272768
2019-06-26,13300.000000,13500.000000,13300.000000,13447.000000,12654.183594,1107700
2019-06-27,13420.000000,13506.000000,13345.000000,13345.000000,12558.197266,689271
2019-06-28,13499.000000,13589.000000,13314.000000,13397.000000,12607.131836,994738
2019-07-01,13500.000000,13702.000000,13320.000000,13377.000000,12588.310547,1222533
2019-07-02,13401.000000,13504.000000,13064.000000,13390.000000,12600.544922,959487
2019-07-03,13390.000000,13649.000000,13222.000000,13586.000000,12784.988281,909535
2019-07-04,13575.000000,13699.000000,13501.000000,13616.000000,12813.219727,438086
2019-07-05,13600.000000,13695.000000,13436.000000,13591.000000,12789.693359,931281
2019-07-08,13524.000000,13614.000000,13451.000000,13555.000000,12755.816406,488502
2019-07-09,13467.000000,13597.000000,13311.000000,13432.000000,12640.068359,824671
2019-07-10,13310.000000,13565.000000,13310.000000,13545.000000,12746.406250,1189641
2019-07-11,13320.000000,13656.000000,13320.000000,13452.000000,12658.888672,406068
2019-07-12,13549.000000,13589.000000,13316.000000,13510.000000,12713.469727,1358470
2019-07-15,13595.000000,13693.000000,13418.000000,13590.000000,12788.752930,672368
2019-07-16,13456.000000,13806.000000,13456.000000,13765.000000,12953.434570,1287283
2019-07-17,13700.000000,13844.000000,13501.000000,13650.000000,12845.214844,2119285
2019-07-18,13765.000000,13765.000000,13605.000000,13661.000000,12855.566406,859752
2019-07-19,13698.000000,13698.000000,13151.000000,13245.000000,12464.093750,995947
2019-07-22,13250.000000,13327.000000,13012.000000,13168.000000,12391.632813,1433296
2019-07-23,13103.000000,13198.000000,13045.000000,13142.000000,12367.166016,2337524
2019-07-24,13199.000000,13259.000000,13063.000000,13130.000000,12355.874023,1083795
2019-07-25,13180.000000,13298.000000,13063.000000,13155.000000,12379.399414,1345933
2019-07-26,13116.000000,13234.000000,13051.000000,13160.000000,12384.104492,2182117
2019-07-29,13192.000000,13449.000000,13150.000000,13356.000000,12568.548828,872147
2019-07-30,13335.000000,13561.000000,13335.000000,13508.000000,12711.586914,1055495
2019-07-31,13506.000000,13549.000000,13301.000000,13441.000000,12648.537109,1080095
2019-08-01,13302.000000,13714.000000,13302.000000,13714.000000,12905.442383,2593303
2019-08-02,13491.000000,13647.000000,13203.000000,13520.000000,12722.879883,1725041
2019-08-05,13391.000000,13500.000000,13250.000000,13300.000000,12515.850586,1026110
2019-08-06,13300.000000,13689.000000,13299.000000,13675.000000,12868.741211,2797029
2019-08-07,13660.000000,13843.000000,13434.000000,13600.000000,12798.163086,2018512
2019-08-08,13781.000000,13848.000000,13600.000000,13700.000000,12892.267578,1037479
2019-08-12,13301.000000,13627.000000,13300.000000,13500.000000,12704.058594,1425334
2019-08-13,13500.000000,13695.000000,13480.000000,13587.000000,12785.929688,1414036
2019-08-14,13515.000000,13560.000000,13260.000000,13435.000000,12642.891602,1965520
2019-08-15,13435.000000,13595.000000,13241.000000,13266.000000,12483.855469,1421452
2019-08-16,13266.000000,13452.000000,13203.000000,13330.000000,12544.082031,1175238
2019-08-19,13363.000000,13460.000000,13193.000000,13302.000000,12517.732422,642290
2019-08-20,13302.000000,13548.000000,13132.000000,13277.000000,12494.207031,1627804
2019-08-21,13300.000000,13649.000000,13299.000000,13540.000000,12741.701172,4343551
2019-08-22,13540.000000,13709.000000,13223.000000,13507.000000,12710.646484,2061879
2019-08-23,13354.000000,13628.000000,13314.000000,13519.000000,12721.938477,725128
2019-08-26,13495.000000,13706.000000,13278.000000,13640.000000,12835.804688,2346677
2019-08-27,13616.000000,13616.000000,12725.000000,12875.000000,12115.908203,2950973
2019-08-28,12869.000000,13075.000000,12656.000000,13050.000000,12280.590820,2774595
2019-08-29,13085.000000,13339.000000,13004.000000,13110.000000,12337.052734,1424463
2019-08-30,13151.000000,13401.000000,13034.000000,13312.000000,12527.143555,2071159
2019-09-02,13354.000000,13418.000000,12900.000000,12900.000000,12139.434570,1957562
2019-09-03,12997.000000,13055.000000,12552.000000,12620.000000,11875.942383,2209343
2019-09-04,12717.000000,12822.000000,12452.000000,12550.000000,11810.069336,2052841
2019-09-05,12543.000000,12548.000000,12273.000000,12273.000000,11549.401367,2520613
2019-09-06,12295.000000,12532.000000,12253.000000,12408.000000,11676.441406,1259540
2019-09-09,12403.000000,12496.000000,12101.000000,12177.000000,11459.061523,1737974
2019-09-10,12192.000000,12197.000000,11382.000000,11651.000000,10964.073242,2619550
2019-09-11,11662.000000,12045.000000,11363.000000,11800.000000,11104.289063,3009420
2019-09-12,11801.000000,12199.000000,11751.000000,12000.000000,11292.497070,1928143
2019-09-13,11985.000000,11997.000000,11799.000000,11800.000000,11104.289063,1513857
2019-09-16,11780.000000,12500.000000,11706.000000,12446.000000,11712.201172,2757904
2019-09-17,12285.000000,12739.000000,12164.000000,12597.000000,11854.298828,1676578
2019-09-18,12623.000000,12697.000000,12179.000000,12490.000000,11753.607422,2011938
2019-09-19,12385.000000,12566.000000,12101.000000,12239.000000,11517.406250,4086844
2019-09-20,12184.000000,12344.000000,12111.000000,12206.000000,11486.351563,2662442
2019-09-23,12283.000000,12321.000000,11805.000000,11920.000000,11217.213867,1366062
2019-09-25,11912.000000,12147.000000,11805.000000,12105.000000,11391.306641,1286602
2019-09-26,12218.000000,12247.000000,11800.000000,11825.000000,11127.814453,941709
2019-09-27,11800.000000,11883.000000,11612.000000,11874.000000,11173.925781,1131240
2019-09-30,11797.000000,11917.000000,11791.000000,11797.000000,11101.465820,1221875
2019-10-01,11798.000000,12465.000000,11848.000000,12123.000000,11408.245117,965609
2019-10-02,12154.000000,12337.000000,11992.000000,12155.000000,11438.358398,1540151
2019-10-03,12155.000000,12397.000000,11913.000000,12250.000000,11527.756836,1154797
2019-10-04,12362.000000,12351.000000,11900.000000,11939.000000,11235.093750,1193684
2019-10-07,11920.000000,12278.000000,11917.000000,12183.000000,11464.707031,963314
2019-10-08,12233.000000,12205.000000,11836.000000,11895.000000,11193.687500,1141628
2019-10-09,11825.000000,11895.000000,11752.000000,11825.000000,11127.814453,1156454
2019-10-10,11800.000000,11996.000000,11715.000000,11974.000000,11268.030273,1749138
2019-10-11,11955.000000,12098.000000,11794.000000,11964.000000,11258.619141,879989
2019-10-14,11889.000000,12020.000000,11828.000000,11880.000000,11179.572266,802565
2019-10-15,11999.000000,12050.000000,11762.000000,11810.000000,11113.699219,812240
2019-10-16,11810.000000,11996.000000,11734.000000,11914.000000,11211.567383,1555303
2019-10-17,11968.000000,12013.000000,11752.000000,11795.000000,11099.583008,1235601
2019-10-18,11824.000000,11983.000000,11790.000000,11850.000000,11151.340820,1127341
2019-10-21,11913.000000,11905.000000,11789.000000,11845.000000,11146.635742,531789
2019-10-22,11848.000000,12186.000000,11814.000000,12148.000000,11431.771484,542538
2019-10-23,12100.000000,12367.000000,11882.000000,12367.000000,11637.859375,1261283
2019-10-24,12303.000000,12670.000000,12209.000000,12353.000000,11624.684570,965691
2019-10-25,12300.000000,12300.000000,11893.000000,11927.000000,11223.800781,673466
2019-10-28,11900.000000,12398.000000,11900.000000,12341.000000,11613.391602,853778
2019-10-29,11818.000000,12650.000000,11955.000000,12341.000000,11613.391602,1066121
2019-10-30,12341.000000,12500.000000,11801.000000,12350.000000,11621.861328,980788
2019-10-31,12400.000000,12762.000000,12179.000000,12603.000000,11859.945313,1168432
2019-11-01,12550.000000,12934.000000,12425.000000,12899.000000,12138.493164,735915
2019-11-04,12850.000000,12919.000000,12280.000000,12490.000000,11753.607422,1003512
2019-11-05,12225.000000,12694.000000,12217.000000,12328.000000,11601.158203,996812
2019-11-06,12155.000000,12676.000000,12156.000000,12425.000000,11692.439453,959115
2019-11-07,12430.000000,12749.000000,12246.000000,12520.000000,11781.838867,633947
2019-11-08,12899.000000,13547.000000,12520.000000,13350.000000,12562.902344,2499729
2019-11-11,13105.000000,13398.000000,12920.000000,13342.000000,12555.374023,1530405
2019-11-12,13281.000000,13565.000000,12650.000000,12863.000000,12104.615234,2550445
2019-11-13,12505.000000,12880.000000,12451.000000,12550.000000,11810.069336,2077613
2019-11-14,12700.000000,12798.000000,12433.000000,12500.000000,11763.017578,1118992
2019-11-15,12500.000000,12550.000000,12320.000000,12320.000000,11593.629883,1005328
2019-11-18,12355.000000,12687.000000,12360.000000,12470.000000,11734.786133,1250904
2019-11-19,12305.000000,12595.000000,12308.000000,12487.000000,11750.784180,1083935
2019-11-20,12487.000000,12610.000000,12215.000000,12556.000000,11815.715820,907071
2019-11-21,12550.000000,12547.000000,12134.000000,12406.000000,11674.559570,897238
2019-11-22,12329.000000,12370.000000,12120.000000,12200.000000,11480.705078,1230160
2019-11-25,12160.000000,12502.000000,12146.000000,12500.000000,11763.017578,1332397
2019-11-26,12383.000000,12539.000000,11967.000000,12057.000000,11346.136719,2310581
2019-11-27,12058.000000,12400.000000,12099.000000,12270.000000,11546.578125,674391
2019-11-28,12270.000000,12183.000000,12015.000000,12131.000000,11415.773438,667436
2019-11-29,12050.000000,12346.000000,11951.000000,12122.000000,11407.303711,1265269
2019-12-02,12122.000000,12185.000000,11831.000000,11943.000000,11238.857422,1881300
2019-12-03,12100.000000,12002.000000,11701.000000,11708.000000,11017.712891,949329
2019-12-04,11708.000000,11997.000000,11708.000000,11870.000000,11170.161133,1007276
2019-12-05,11999.000000,11984.000000,11680.000000,11680.000000,10991.363281,1096414
2019-12-06,11998.000000,11973.000000,11682.000000,11757.000000,11063.824219,848365
2019-12-09,11760.000000,11848.000000,11500.000000,11626.000000,10940.547852,519348
2019-12-10,11485.000000,11718.000000,11485.000000,11628.000000,10942.429688,947753
2019-12-11,11501.000000,11871.000000,11516.000000,11712.000000,11021.476563,935568
2019-12-12,11712.000000,11874.000000,11530.000000,11726.000000,11034.651367,1931626
2019-12-13,11750.000000,11874.000000,11664.000000,11800.000000,11104.289063,1432832
2019-12-17,11551.000000,11889.000000,11551.000000,11579.000000,10896.318359,2186105
2019-12-18,11556.000000,11863.000000,11552.000000,11824.000000,11126.874023,1620835
2019-12-19,11800.000000,11900.000000,11612.000000,11698.000000,11008.302734,4490280
2019-12-20,11800.000000,11900.000000,11614.000000,11659.000000,10971.601563,2371031
2019-12-23,11899.000000,11899.000000,11542.000000,11700.000000,11010.184570,873480
2019-12-24,11748.000000,11748.000000,11550.000000,11585.000000,10901.964844,209455
2019-12-27,11585.000000,11747.000000,11401.000000,11479.000000,10802.213867,651944
2019-12-30,11740.000000,11736.000000,11474.000000,11594.000000,10910.434570,1164225
