Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2320.000000,2475.000000,2320.000000,2325.000000,1156.678223,355932
2000-01-05,2220.000000,2400.000000,2100.000000,2355.000000,1171.603394,715506
2000-01-06,2330.000000,2550.000000,2325.000000,2540.000000,1263.640015,1117179
2000-01-07,2540.000000,2800.000000,2540.000000,2750.000000,1368.113892,889743
2000-01-10,2850.000000,3150.000000,2850.000000,2940.000000,1462.638550,2165022
2000-01-11,2980.000000,3050.000000,2930.000000,3000.000000,1492.487915,1942616
2000-01-12,2950.000000,3100.000000,2950.000000,3035.000000,1509.900269,1775873
2000-01-13,3060.000000,3350.000000,3035.000000,3270.000000,1626.812134,2002257
2000-01-14,3300.000000,3550.000000,3300.000000,3480.000000,1731.286011,1905426
2000-01-17,3500.000000,3750.000000,3500.000000,3710.000000,1845.710327,2848664
2000-01-18,3710.000000,3880.000000,3650.000000,3825.000000,1902.922119,3046287
2000-01-19,3810.000000,3810.000000,3670.000000,3730.000000,1855.660889,3303728
2000-01-20,3700.000000,3770.000000,3400.000000,3420.000000,1701.436401,1450999
2000-01-21,3275.000000,3350.000000,3000.000000,3010.000000,1497.463013,4316249
2000-01-24,3000.000000,3080.000000,2875.000000,3050.000000,1517.362793,1452453
2000-01-25,2950.000000,3000.000000,2810.000000,2845.000000,1415.375854,1407749
2000-01-26,2900.000000,2900.000000,2650.000000,2775.000000,1380.551636,1128343
2000-01-27,2675.000000,2950.000000,2600.000000,2830.000000,1407.913696,1062854
2000-01-28,2700.000000,2900.000000,2700.000000,2900.000000,1442.738037,855921
2000-01-31,2720.000000,3030.000000,2720.000000,2980.000000,1482.538086,1113111
2000-02-01,3000.000000,3195.000000,3000.000000,3140.000000,1562.137573,2616718
2000-02-02,3200.000000,3470.000000,3200.000000,3340.000000,1661.637085,2075181
2000-02-03,3345.000000,3550.000000,3345.000000,3550.000000,1766.110596,1603930
2000-02-04,3600.000000,3650.000000,3160.000000,3280.000000,1631.787231,1713942
2000-02-07,3350.000000,3350.000000,3110.000000,3110.000000,1547.212402,722393
2000-02-08,3110.000000,3350.000000,3100.000000,3345.000000,1664.123657,704952
2000-02-09,3345.000000,3550.000000,3345.000000,3520.000000,1751.186523,1252769
2000-02-10,3400.000000,3740.000000,3400.000000,3700.000000,1840.735474,1122201
2000-02-11,3720.000000,4000.000000,3720.000000,3855.000000,1917.847290,1956364
2000-02-14,3800.000000,3920.000000,3705.000000,3800.000000,1890.484741,1511857
2000-02-15,3850.000000,3920.000000,3550.000000,3610.000000,1795.960449,1303510
2000-02-16,3685.000000,3710.000000,3350.000000,3400.000000,1691.486328,1910911
2000-02-17,3450.000000,3750.000000,3400.000000,3700.000000,1840.735474,2486629
2000-02-18,3750.000000,4150.000000,3680.000000,4120.000000,2049.683838,3114916
2000-02-21,3850.000000,4000.000000,3800.000000,3810.000000,1895.459839,863564
2000-02-22,3810.000000,3975.000000,3725.000000,3870.000000,1925.309326,1705866
2000-02-23,3920.000000,4425.000000,3880.000000,4180.000000,2079.533691,2936483
2000-02-24,4400.000000,4450.000000,4230.000000,4245.000000,2111.870850,3644338
2000-02-25,4220.000000,4250.000000,4020.000000,4180.000000,2079.533691,1789621
2000-02-28,4100.000000,4100.000000,3850.000000,3850.000000,1915.359863,692813
2000-02-29,3850.000000,4050.000000,3780.000000,3800.000000,1890.484741,1236736
2000-03-01,3820.000000,3920.000000,3750.000000,3890.000000,1935.259155,1176085
2000-03-02,3950.000000,3970.000000,3770.000000,3765.000000,1873.072021,638388
2000-03-03,3700.000000,3850.000000,3600.000000,3845.000000,1912.872070,2121240
2000-03-06,3840.000000,3930.000000,3790.000000,3800.000000,1890.484741,959849
2000-03-07,3790.000000,3845.000000,3730.000000,3840.000000,1910.384644,866515
2000-03-08,3790.000000,3850.000000,3750.000000,3760.000000,1870.585205,2703653
2000-03-09,3800.000000,3900.000000,3600.000000,3810.000000,1895.459839,1416183
2000-03-10,3880.000000,4180.000000,3860.000000,4150.000000,2064.608398,2742770
2000-03-13,3900.000000,4250.000000,3900.000000,4190.000000,2084.508545,1725660
2000-03-14,4190.000000,4800.000000,4190.000000,4610.000000,2293.456787,3449169
2000-03-15,4500.000000,5000.000000,4500.000000,4850.000000,2412.855713,2480699
2000-03-16,4900.000000,5060.000000,4300.000000,4580.000000,2278.531006,5324017
2000-03-17,4650.000000,4750.000000,4150.000000,4320.000000,2149.183105,3391726
2000-03-20,4320.000000,4320.000000,4125.000000,4170.000000,2074.558350,747434
2000-03-21,4170.000000,4170.000000,4170.000000,4170.000000,2074.558350,0
2000-03-22,4170.000000,4250.000000,4070.000000,4100.000000,2039.733521,1278649
2000-03-23,4150.000000,4275.000000,4150.000000,4170.000000,2074.558350,1293498
2000-03-24,4275.000000,4300.000000,4050.000000,4075.000000,2027.296387,864538
2000-03-27,4080.000000,4320.000000,4080.000000,4270.000000,2124.307861,1145287
2000-03-28,4200.000000,4400.000000,4135.000000,4170.000000,2074.558350,2435864
2000-03-29,4115.000000,4280.000000,4115.000000,4155.000000,2067.096191,1369619
2000-03-30,4065.000000,4090.000000,3760.000000,3800.000000,1890.484741,1235344
2000-03-31,3720.000000,3800.000000,3460.000000,3600.000000,1790.985718,2342339
2000-04-03,3600.000000,3785.000000,3450.000000,3690.000000,1835.760010,2722815
2000-04-04,3600.000000,3700.000000,3525.000000,3590.000000,1786.010864,1731747
2000-04-05,3500.000000,3500.000000,3210.000000,3330.000000,1656.661987,20304528
