Date,Open,High,Low,Close,Adj Close,Volume
2019-09-11,123850.000000,125000.000000,116504.000000,120265.000000,120256.570313,4859228
2019-09-12,120577.000000,121311.000000,115422.000000,116800.000000,116791.812500,1632997
2019-09-13,118100.000000,119105.000000,115404.000000,118735.000000,118726.679688,1415677
2019-09-16,118000.000000,118623.000000,116838.000000,117439.000000,117430.765625,2731704
2019-09-17,115500.000000,116400.000000,112078.000000,112600.000000,112592.109375,2562189
2019-09-18,112100.000000,112175.000000,108965.000000,109120.000000,109112.351563,1868078
2019-09-19,109711.000000,112137.000000,108500.000000,111337.000000,111329.195313,3957737
2019-09-20,112600.000000,114019.000000,112305.000000,113191.000000,113183.062500,8311969
2019-09-23,114400.000000,115932.000000,113480.000000,113803.000000,113795.023438,794787
2019-09-25,112700.000000,112878.000000,111350.000000,112113.000000,112105.140625,1199244
2019-09-26,113000.000000,113931.000000,111292.000000,111292.000000,111284.195313,669308
2019-09-27,111900.000000,112199.000000,110000.000000,111141.000000,111133.210938,727088
2019-09-30,110520.000000,111613.000000,109256.000000,110700.000000,110692.242188,347661
2019-10-01,111084.000000,113000.000000,110750.000000,112223.000000,112215.132813,913868
2019-10-02,112005.000000,114684.000000,107782.000000,108200.000000,108192.414063,1577363
2019-10-03,108555.000000,109325.000000,108057.000000,108241.000000,108233.414063,1241454
2019-10-04,108166.000000,109081.000000,107800.000000,107833.000000,107825.445313,978584
2019-10-07,108555.000000,108947.000000,107393.000000,108600.000000,108592.390625,747465
2019-10-08,109597.000000,109999.000000,107503.000000,107885.000000,107877.437500,628635
2019-10-09,107409.000000,108099.000000,106613.000000,107353.000000,107345.476563,605073
2019-10-10,107851.000000,107804.000000,106712.000000,107100.000000,107092.492188,818575
2019-10-11,107304.000000,108420.000000,106501.000000,107042.000000,107034.500000,871169
2019-10-14,108487.000000,108850.000000,105908.000000,106753.000000,106745.515625,721425
2019-10-15,107260.000000,108332.000000,106676.000000,107927.000000,107919.437500,744182
2019-10-16,108963.000000,109499.000000,108122.000000,109000.000000,108992.359375,1023486
2019-10-17,109400.000000,110999.000000,109101.000000,109732.000000,109724.304688,796484
2019-10-18,109732.000000,110416.000000,108872.000000,109684.000000,109676.312500,940589
2019-10-21,109716.000000,110000.000000,108351.000000,108750.000000,108742.375000,731671
2019-10-22,108661.000000,109997.000000,107651.000000,107651.000000,107643.453125,474044
2019-10-23,107462.000000,107474.000000,101633.000000,102042.000000,102034.843750,1048564
2019-10-24,102517.000000,104881.000000,101658.000000,102915.000000,102907.789063,1380771
2019-10-25,103298.000000,103997.000000,100174.000000,100790.000000,100782.937500,940806
2019-10-28,102500.000000,102825.000000,101000.000000,101669.000000,101661.875000,658301
2019-10-29,100800.000000,102570.000000,100270.000000,102000.000000,101992.851563,1273305
2019-10-30,102500.000000,103908.000000,100601.000000,103000.000000,102992.781250,1865606
2019-10-31,104350.000000,105364.000000,103265.000000,105098.000000,105090.632813,1823524
2019-11-01,104521.000000,105474.000000,103768.000000,104152.000000,104144.703125,215559
2019-11-04,104152.000000,104900.000000,102694.000000,103000.000000,102992.781250,742770
2019-11-05,103200.000000,104487.000000,102611.000000,102848.000000,102840.789063,831617
2019-11-06,103035.000000,103698.000000,101124.000000,103450.000000,103442.750000,1111528
2019-11-07,101269.000000,103849.000000,101268.000000,102915.000000,102907.789063,513592
2019-11-08,102000.000000,104100.000000,101000.000000,102500.000000,102492.812500,651219
2019-11-11,102400.000000,103080.000000,101251.000000,102023.000000,102015.851563,658928
2019-11-12,103343.000000,103581.000000,101122.000000,101801.000000,101793.867188,683048
2019-11-13,102000.000000,101991.000000,97810.000000,99400.000000,99393.031250,829158
2019-11-14,98550.000000,100004.000000,98500.000000,98651.000000,98644.085938,665386
2019-11-15,99400.000000,99700.000000,98013.000000,98778.000000,98771.078125,543614
2019-11-18,99999.000000,101669.000000,99985.000000,101249.000000,101241.906250,497437
2019-11-19,102500.000000,103299.000000,101761.000000,102759.000000,102751.796875,1007972
2019-11-20,103100.000000,103049.000000,98982.000000,101403.000000,101395.890625,915524
2019-11-21,99501.000000,100957.000000,99100.000000,100957.000000,100949.921875,1088468
2019-11-22,100800.000000,102131.000000,100165.000000,101267.000000,101259.898438,483615
2019-11-25,101810.000000,103605.000000,101810.000000,102513.000000,102505.812500,1585932
2019-11-26,102500.000000,103399.000000,101253.000000,101253.000000,101245.906250,864265
2019-11-27,102296.000000,103478.000000,100231.000000,100681.000000,100673.945313,826182
2019-11-28,101400.000000,102000.000000,100850.000000,100850.000000,100842.929688,1212671
2019-11-29,100500.000000,100668.000000,99163.000000,100029.000000,100021.992188,534804
2019-12-02,100200.000000,100200.000000,97253.000000,97253.000000,97246.179688,741715
2019-12-03,97100.000000,98100.000000,96381.000000,96403.000000,96396.242188,1017910
2019-12-04,96839.000000,97900.000000,96300.000000,97535.000000,97528.164063,748864
2019-12-05,97536.000000,97916.000000,96150.000000,96700.000000,96693.218750,598765
2019-12-06,97500.000000,97999.000000,96115.000000,96560.000000,96553.234375,566388
2019-12-09,96592.000000,97624.000000,95522.000000,96975.000000,96968.203125,454084
2019-12-10,96820.000000,98800.000000,95500.000000,97100.000000,97093.195313,724774
2019-12-11,97790.000000,97816.000000,96328.000000,96711.000000,96704.218750,480600
2019-12-12,98500.000000,99914.000000,97375.000000,97850.000000,97843.140625,668820
2019-12-13,100000.000000,101149.000000,97852.000000,100400.000000,100392.960938,1158627
2019-12-17,103300.000000,103798.000000,101298.000000,103157.000000,103149.765625,1029254
2019-12-18,103800.000000,105675.000000,103511.000000,104000.000000,103992.710938,901581
2019-12-19,103000.000000,104341.000000,102503.000000,103299.000000,103291.757813,2074042
2019-12-20,103468.000000,104941.000000,103391.000000,104144.000000,104136.703125,848962
2019-12-23,104699.000000,105808.000000,102502.000000,104700.000000,104692.664063,263527
2019-12-24,105449.000000,105449.000000,104041.000000,104450.000000,104442.679688,127548
2019-12-27,105579.000000,105999.000000,103912.000000,105343.000000,105335.617188,130535
2019-12-30,105667.000000,106414.000000,104647.000000,106075.000000,106067.562500,151128
2019-12-31,102500.000000,105983.000000,104511.000000,105400.000000,105392.609375,94199
2020-01-02,105401.000000,106991.000000,105800.000000,106850.000000,106842.507813,401623
2020-01-03,106860.000000,108139.000000,106016.000000,106709.000000,106701.523438,347501
2020-01-06,106663.000000,106669.000000,105000.000000,106500.000000,106492.531250,258160
2020-01-07,107500.000000,108399.000000,107048.000000,108040.000000,108032.429688,192863
2020-01-08,107697.000000,107697.000000,106353.000000,107693.000000,107685.453125,180774
2020-01-09,108054.000000,109500.000000,108410.000000,109308.000000,109300.335938,262035
2020-01-10,110000.000000,113100.000000,110261.000000,112623.000000,112615.109375,536860
2020-01-13,115000.000000,114927.000000,113285.000000,113650.000000,113642.031250,696269
2020-01-14,113791.000000,114624.000000,113053.000000,113625.000000,113617.039063,419988
2020-01-15,113500.000000,114687.000000,113000.000000,113025.000000,113017.078125,448592
2020-01-16,113025.000000,114141.000000,112336.000000,113100.000000,113092.070313,386185
2020-01-17,113858.000000,115268.000000,112801.000000,114516.000000,114507.976563,724737
2020-01-20,114516.000000,115765.000000,113273.000000,115500.000000,115491.906250,706593
2020-01-21,114300.000000,114676.000000,113155.000000,113818.000000,113810.023438,720178
2020-01-22,111000.000000,112000.000000,109500.000000,109991.000000,109983.289063,1722134
2020-01-23,107500.000000,109314.000000,107500.000000,108411.000000,108403.398438,549068
2020-01-24,108601.000000,109500.000000,108001.000000,109050.000000,109042.359375,277372
2020-01-27,107450.000000,107000.000000,103500.000000,104648.000000,104640.664063,811306
2020-01-28,105000.000000,105709.000000,104000.000000,105287.000000,105279.617188,610801
2020-01-29,107500.000000,109389.000000,107640.000000,108288.000000,108280.406250,571242
2020-01-30,107500.000000,108760.000000,105203.000000,108200.000000,108192.414063,657426
2020-01-31,108500.000000,109498.000000,106982.000000,108041.000000,108033.429688,783243
2020-02-03,109506.000000,110464.000000,108100.000000,108513.000000,108505.390625,716234
2020-02-04,110249.000000,112390.000000,110250.000000,112115.000000,112107.140625,548503
2020-02-05,111708.000000,114955.000000,110006.000000,113450.000000,113442.046875,756984
2020-02-06,114040.000000,114713.000000,113507.000000,113991.000000,113983.007813,447770
2020-02-07,113950.000000,114993.000000,113159.000000,114307.000000,114298.984375,409562
2020-02-10,113999.000000,114335.000000,112022.000000,112750.000000,112742.093750,355484
2020-02-11,113006.000000,114691.000000,113295.000000,114444.000000,114435.976563,545121
