Date,Open,High,Low,Close,Adj Close,Volume
2017-11-29,29900.000000,29972.000000,29499.000000,29585.000000,29525.486328,332626
2017-11-30,29510.000000,29654.000000,28830.000000,29000.000000,28941.666016,942651
2017-12-01,28964.000000,29038.000000,28540.000000,29000.000000,28941.666016,247997
2017-12-04,29000.000000,29700.000000,28250.000000,28740.000000,28682.187500,242918
2017-12-05,28010.000000,28783.000000,28010.000000,28170.000000,28113.333984,326348
2017-12-06,28170.000000,28499.000000,27300.000000,28401.000000,28343.869141,853324
2017-12-07,28231.000000,29277.000000,27550.000000,28904.000000,28845.857422,926898
2017-12-08,29400.000000,29400.000000,27801.000000,28605.000000,28547.457031,331325
2017-12-11,28605.000000,29320.000000,28521.000000,29000.000000,28941.666016,134676
2017-12-12,28300.000000,29150.000000,28300.000000,28600.000000,28542.468750,513688
2017-12-13,28600.000000,29000.000000,28000.000000,28300.000000,28243.074219,567060
2017-12-14,28799.000000,28799.000000,27500.000000,27500.000000,27444.681641,648252
2017-12-15,27500.000000,28196.000000,27005.000000,28196.000000,28139.281250,926058
2017-12-18,27201.000000,28130.000000,26647.000000,27550.000000,27494.582031,497307
2017-12-19,27361.000000,28200.000000,26550.000000,26977.000000,26922.732422,616460
2017-12-20,26977.000000,27800.000000,26503.000000,27400.000000,27344.882813,407982
2017-12-21,27701.000000,28212.000000,26800.000000,28070.000000,28013.533203,1556079
2017-12-22,27994.000000,28246.000000,27415.000000,27889.000000,27832.898438,49574
2017-12-25,27889.000000,27889.000000,27889.000000,27889.000000,27832.898438,0
2017-12-26,27889.000000,27889.000000,27889.000000,27889.000000,27832.898438,0
2017-12-27,27450.000000,27474.000000,26851.000000,27050.000000,26995.587891,119328
2017-12-28,27726.000000,27726.000000,27061.000000,27490.000000,27434.701172,248960
2017-12-29,27490.000000,28224.000000,27126.000000,27589.000000,27533.501953,56008
2018-01-02,27550.000000,27926.000000,27232.000000,27232.000000,27177.220703,195394
2018-01-03,27232.000000,27995.000000,26500.000000,27494.000000,27438.693359,164642
2018-01-04,27489.000000,27489.000000,26259.000000,26632.000000,26578.427734,270282
2018-01-05,26440.000000,26804.000000,26440.000000,26772.000000,26718.146484,83803
2018-01-08,26772.000000,27400.000000,26351.000000,26384.000000,26330.925781,247698
2018-01-09,26384.000000,26732.000000,26142.000000,26142.000000,26089.414063,426070
2018-01-10,26240.000000,26600.000000,26042.000000,26400.000000,26346.896484,169241
2018-01-11,26250.000000,26804.000000,26250.000000,26650.000000,26596.392578,367335
2018-01-12,26200.000000,26850.000000,25900.000000,26310.000000,26257.074219,121346
2018-01-15,26350.000000,26885.000000,26350.000000,26694.000000,26640.304688,121161
2018-01-16,26551.000000,26900.000000,26101.000000,26401.000000,26347.890625,507724
2018-01-17,26550.000000,26892.000000,26377.000000,26400.000000,26346.896484,445916
2018-01-18,26101.000000,26700.000000,25926.000000,26100.000000,26047.498047,641570
2018-01-19,26231.000000,26822.000000,26103.000000,26600.000000,26546.492188,572681
2018-01-22,26588.000000,26588.000000,26106.000000,26500.000000,26446.693359,496354
2018-01-23,26500.000000,26932.000000,26450.000000,26725.000000,26671.240234,410376
2018-01-24,26845.000000,28999.000000,26829.000000,27300.000000,27245.083984,456301
2018-01-25,27501.000000,27751.000000,26805.000000,27400.000000,27344.882813,918317
2018-01-26,27400.000000,27400.000000,26508.000000,26800.000000,26746.089844,666938
2018-01-29,27299.000000,27299.000000,25685.000000,26328.000000,26275.039063,637971
2018-01-30,26439.000000,26439.000000,25811.000000,26400.000000,26346.896484,405255
2018-01-31,26010.000000,26311.000000,25458.000000,25500.000000,25448.705078,1103594
2018-02-01,25451.000000,26238.000000,25450.000000,25800.000000,25748.101563,427883
2018-02-02,25800.000000,26300.000000,25600.000000,26300.000000,26247.095703,389408
2018-02-05,25600.000000,26129.000000,25600.000000,25994.000000,25941.712891,867120
2018-02-06,25610.000000,25700.000000,24687.000000,25263.000000,25212.181641,729773
2018-02-07,24600.000000,25500.000000,24600.000000,25260.000000,25209.187500,663726
2018-02-08,24720.000000,25316.000000,24620.000000,25000.000000,24949.708984,633636
2018-02-09,24901.000000,24901.000000,24003.000000,24689.000000,24639.335938,495902
2018-02-12,24001.000000,24500.000000,24001.000000,24451.000000,24401.814453,496398
2018-02-13,24202.000000,24632.000000,24039.000000,24150.000000,24101.419922,531161
2018-02-14,24075.000000,24550.000000,23701.000000,24145.000000,24096.431641,427874
2018-02-15,23700.000000,24565.000000,23700.000000,24170.000000,24121.380859,1215313
2018-02-16,24170.000000,24209.000000,23824.000000,23900.000000,23851.923828,476991
2018-02-19,23800.000000,24096.000000,23791.000000,23825.000000,23777.074219,457955
2018-02-20,23796.000000,24005.000000,23596.000000,23800.000000,23752.125000,496975
2018-02-21,23999.000000,24200.000000,23548.000000,23900.000000,23851.923828,654959
2018-02-22,23950.000000,23950.000000,22702.000000,23167.000000,23120.398438,593075
2018-02-23,23100.000000,23650.000000,22722.000000,23400.000000,23352.927734,339171
2018-02-26,23400.000000,23800.000000,23255.000000,23299.000000,23252.132813,320985
2018-02-27,23299.000000,23566.000000,23112.000000,23200.000000,23153.332031,340063
2018-02-28,23000.000000,23465.000000,22850.000000,23000.000000,22953.732422,320509
2018-03-01,23000.000000,23000.000000,22608.000000,22647.000000,22601.443359,307290
2018-03-02,22616.000000,22694.000000,22258.000000,22553.000000,22507.634766,433636
2018-03-05,22600.000000,22716.000000,22395.000000,22600.000000,22554.539063,356219
2018-03-06,22716.000000,22922.000000,22533.000000,22630.000000,22584.478516,611359
2018-03-07,22650.000000,22955.000000,22574.000000,22825.000000,22779.085938,509868
2018-03-08,22825.000000,23088.000000,22601.000000,22950.000000,22903.833984,435691
2018-03-09,22979.000000,23313.000000,22979.000000,23210.000000,23163.310547,205836
2018-03-12,23250.000000,23399.000000,22892.000000,23195.000000,23148.341797,483606
2018-03-13,22960.000000,23289.000000,22599.000000,22726.000000,22680.285156,473925
2018-03-14,22682.000000,22858.000000,22515.000000,22858.000000,22812.019531,320708
2018-03-15,22750.000000,22858.000000,22512.000000,22687.000000,22641.365234,1264782
2018-03-16,22650.000000,23086.000000,22503.000000,22681.000000,22635.376953,333608
2018-03-19,22681.000000,22758.000000,22159.000000,22337.000000,22292.068359,244147
2018-03-20,22000.000000,22380.000000,21661.000000,21900.000000,21855.947266,353310
2018-03-22,21710.000000,21900.000000,20997.000000,21053.000000,21010.648438,782880
2018-03-23,21000.000000,21950.000000,20813.000000,21596.000000,21552.556641,252355
2018-03-26,21365.000000,21513.000000,21093.000000,21400.000000,21356.953125,468023
2018-03-27,21500.000000,21790.000000,21500.000000,21711.000000,21667.326172,539816
2018-03-28,21690.000000,22233.000000,21321.000000,22155.000000,22110.435547,308093
2018-03-29,22160.000000,23019.000000,21939.000000,23000.000000,22953.732422,441186
2018-04-03,22501.000000,23049.000000,22500.000000,22720.000000,22674.296875,511089
2018-04-04,22602.000000,23209.000000,22501.000000,23121.000000,23074.490234,511899
2018-04-05,23318.000000,23703.000000,23183.000000,23689.000000,23641.347656,315215
2018-04-06,23500.000000,24520.000000,23500.000000,24450.000000,24400.818359,430604
2018-04-09,24868.000000,24868.000000,24170.000000,24352.000000,24303.013672,436396
2018-04-10,24364.000000,24668.000000,24170.000000,24413.000000,24363.892578,184631
2018-04-11,24400.000000,24400.000000,23689.000000,23794.000000,23746.134766,220036
2018-04-12,23794.000000,24050.000000,23616.000000,23810.000000,23762.105469,335742
2018-04-13,23700.000000,24125.000000,23631.000000,24125.000000,24076.472656,224978
2018-04-16,23999.000000,24199.000000,23793.000000,24002.000000,23953.716797,479688
2018-04-17,23869.000000,24039.000000,23478.000000,23510.000000,23462.708984,224314
2018-04-18,23354.000000,23469.000000,22634.000000,23186.000000,23139.361328,370318
2018-04-19,22824.000000,23700.000000,21827.000000,22000.000000,21955.746094,824284
2018-04-20,22172.000000,22675.000000,22111.000000,22506.000000,22460.728516,824880
