headline,link
Absa-klante se data lek uit,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/absa-klante-se-data-lek-uit/
Absa leak: Details emerge of how rogue employee sold client data,https://www.moneyweb.co.za/news/companies-and-deals/absa-leak-details-emerge-of-how-rogue-employee-sold-client-data/
Absa’s data leak explained,https://www.moneyweb.co.za/news/companies-and-deals/absas-data-leak-explained/
Is now the time to buy gold?,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/is-now-the-time-to-buy-gold/
Absa expects earnings to improve on half-year numbers,https://www.moneyweb.co.za/news/companies-and-deals/absas-expects-earnings-to-improve-on-half-year-numbers/
Absa rules out dividends with profit down 40%,https://www.moneyweb.co.za/news/companies-and-deals/absa-rules-out-dividends-with-profit-down-40/
"Why Goldman is bullish on the rand, SA banks",https://www.moneyweb.co.za/investing/why-goldman-is-bullish-on-the-rand-sa-banks/
SA stocks at three-month high,https://www.moneyweb.co.za/news/markets/sa-stocks-rise-as-biden-win-amps-up-risk-appetite/
SA stocks erase gains as tight US vote hits rand,https://www.moneyweb.co.za/news-fast-news/sa-stocks-erase-gains-as-tight-us-vote-hits-rand/
South Africa factory sentiment jumps to record high on demand,https://www.moneyweb.co.za/news-fast-news/south-africa-factory-sentiment-jumps-to-record-high-on-demand/
"SA stocks extend drop as miners, banks counter Prosus",https://www.moneyweb.co.za/news-fast-news/sa-stocks-extend-drop-as-miners-banks-counter-prosus/
SA stocks slip to four-week low before budget statement,https://www.moneyweb.co.za/news-fast-news/sa-stocks-slip-to-four-week-low-before-budget-statement/
Covid-19 vs the financial crisis: Why the bank bad debts can’t be compared,https://www.moneyweb.co.za/news/economy/covid-19-vs-the-financial-crisis-why-the-bank-bad-debts-cant-be-compared/
Financial markets in Africa still underdeveloped,https://www.moneyweb.co.za/news/markets/financial-markets-in-africa-still-underdeveloped/
"SA stocks climb as AngloGold, Gold Fields lead gains",https://www.moneyweb.co.za/news-fast-news/sa-stocks-climb-as-anglogold-gold-fields-lead-gains/
