headline,link
"SA stocks fall, paring best November gains since 2001",https://www.moneyweb.co.za/news/south-africa/sa-stocks-fall-paring-best-november-gains-since-2001/
Easy Equities sees an influx of new investors and a look at the Sasol share price,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/easy-equities-sees-an-influx-of-new-investors-and-a-look-at-the-sasol-share-price/
Finding value in SA’s small- and mid-cap sector,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/crypto-is-going-mainstream-faster-than-expected-2/
Is now the time to buy gold?,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/is-now-the-time-to-buy-gold/
SA stocks steady as Naspers gains,https://www.moneyweb.co.za/news-fast-news/sa-stocks-steady-as-naspers-gains/
The days of speedy payments using crypto have arrived,https://www.moneyweb.co.za/moneyweb-crypto/crypto-podcasts/the-days-of-speedy-payments-using-crypto-have-arrived/
"Why Goldman is bullish on the rand, SA banks",https://www.moneyweb.co.za/investing/why-goldman-is-bullish-on-the-rand-sa-banks/
SA stocks at three-month high,https://www.moneyweb.co.za/news/markets/sa-stocks-rise-as-biden-win-amps-up-risk-appetite/
SA’s best and worst banks,https://www.moneyweb.co.za/news/companies-and-deals/sas-best-and-worst-banks/
Capitec stel huisleningsproduk bekend,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/capitec-stel-huisleningsproduk-bekend/
Capitec launches its first full home loan offering,https://www.moneyweb.co.za/news/companies-and-deals/capitec-launches-its-first-full-home-loan-offering/
"SA stocks extend drop as miners, banks counter Prosus",https://www.moneyweb.co.za/news-fast-news/sa-stocks-extend-drop-as-miners-banks-counter-prosus/
There are still opportunities in local shares,https://www.moneyweb.co.za/investing/equities/there-are-still-opportunities-in-local-shares/
Covid-19 vs the financial crisis: Why the bank bad debts can’t be compared,https://www.moneyweb.co.za/news/economy/covid-19-vs-the-financial-crisis-why-the-bank-bad-debts-cant-be-compared/
Capitec aangewys as die beste bank in Suid-Afrika,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/capitec-aangewys-as-die-beste-bank-in-suid-afrika/
