headline,link
France’s Canal+ buys stake in MultiChoice; disrupting the new normal and does the JSE need fixing?,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/frances-canal-buys-stake-in-multichoice-disrupting-the-new-normal-and-does-the-jse-need-fixing/
Mondi’s top boss to leave as industry battles costs,https://www.moneyweb.co.za/news/companies-and-deals/mondis-top-boss-to-leave-as-industry-battles-costs/
Amplats share price tumbles despite strong results,https://www.moneyweb.co.za/moneyweb-radio/amplats-share-price-tumbles-despite-strong-results/
Resource counters buckle under Vale go-ahead,https://www.moneyweb.co.za/moneyweb-radio/resource-counters-buckle-under-vale-go-ahead/
The importance of dividends,https://www.moneyweb.co.za/investing/the-importance-of-dividends/
"EU antitrust regulators raid Mondi, other paper companies",https://www.moneyweb.co.za/news/companies-and-deals/eu-antitrust-regulators-raid-mondi-other-paper-companies/
Mondi names insider Peter Oswald as CEO,https://www.moneyweb.co.za/news/companies-and-deals/mondi-names-insider-peter-oswald-as-ceo/
Mondi to buy Russian packaging firm Beepack,https://www.moneyweb.co.za/news/companies-and-deals/mondi-to-buy-russian-packaging-firm-beepack/
Mondi first-half profit rises,https://www.moneyweb.co.za/news/companies-and-deals/mondi-first-half-profit-rises/
Half-year market wrap-up: a rollercoaster ride,https://www.moneyweb.co.za/news/markets/half-year-market-wrap-up-a-rollercoaster-ride/
"Mondi profit up on SA growth, uncoated fine paper",https://www.moneyweb.co.za/news/companies-and-deals/mondi-profit-sa-growth-uncoated-fine-paper/
Mondi says could borrow to fund M&A,https://www.moneyweb.co.za/news/companies-and-deals/mondi-could-jack-up-1-7bn-debt-to-fund-ma-ceo/
Mondi full-year profit rises,https://www.moneyweb.co.za/news/companies-and-deals/mondi-full-year-profit-rises/
‘Mondi is doing really well’: Simon Brown – JustOneLap,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/mondi-is-doing-really-well-simon-brown-justonelap/
Market highlights,https://www.moneyweb.co.za/news/markets/market-highlights/
