headline,link
SA stocks erase gains as tight US vote hits rand,https://www.moneyweb.co.za/news-fast-news/sa-stocks-erase-gains-as-tight-us-vote-hits-rand/
SA stocks slip to four-week low before budget statement,https://www.moneyweb.co.za/news-fast-news/sa-stocks-slip-to-four-week-low-before-budget-statement/
SA stocks fall as virus cases surge and US stimulus deal elusive,https://www.moneyweb.co.za/news-fast-news/sa-stocks-fall-as-virus-cases-surge-and-us-stimulus-deal-elusive/
Northam Platinum buys back more Zambezi Platinum preference shares,https://www.moneyweb.co.za/news-fast-news/northam-platinum-buys-back-more-zambezi-platinum-preference-shares/
"Simon’s weekly wrap: Retail trends, market recovery, and a preference share with a twist",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/simons-weekly-wrap-retail-trends-market-recovery-and-a-preference-share-with-a-twist/
"Discovery’s update, Northam Platinum results and global fixed income",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/discoverys-update-northam-platinum-results-and-global-fixed-income/
Northam Platinum se opbrengste skitter vanjaar,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/northam-platinum-se-opbrengste-skitter-vanjaar/
Northam Platinum more than doubles annual earnings,https://www.moneyweb.co.za/news-fast-news/northam-platinum-more-than-doubles-annual-earnings/
"Stocks rise as WeChat assurance lifts Naspers, Prosus",https://www.moneyweb.co.za/news/markets/stocks-rise-as-wechat-assurance-lifts-naspers-prosus/
Weekly wrap: Gold shares surge as metal breaks $2 000/oz,https://www.moneyweb.co.za/mineweb/weekly-wrap-gold-shares-surge-as-metal-breaks-2-000-oz/
Stocks fall as precious metals producers tumble,https://www.moneyweb.co.za/news-fast-news/stocks-fall-as-precious-metals-producers-tumble/
SA stocks plunge as Tencent fall hits Naspers and Prosus,https://www.moneyweb.co.za/news/markets/south-african-stocks-plunge-as-tencent-fall-hits-naspers-and-prosus/
Stocks retreat as banks fall; Shoprite soars on update,https://www.moneyweb.co.za/news-fast-news/stocks-retreat-as-banks-fall-shoprite-soars-on-update/
Stocks rise as record bullion price lifts miners,https://www.moneyweb.co.za/news-fast-news/stocks-rise-as-record-bullion-price-lifts-miners/
SA stocks lifted by miners as rates decision awaited,https://www.moneyweb.co.za/news-fast-news/sa-stocks-lifted-by-miners-as-rates-decision-awaited/
