headline,link
Prosus to target online care startups for elderly after pandemic,https://www.moneyweb.co.za/news/international/prosus-to-target-online-care-startups-for-elderly-after-pandemic/
"SA stocks edge higher as upgrades boost Bidvest, Tiger",https://www.moneyweb.co.za/news/markets/sa-stocks-edge-higher-as-upgrades-boost-bidvest-tiger/
How to combat fear when investing and Prosus share buybacks,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/how-to-combat-fear-when-investing-and-prosus-share-buybacks/
Prosus and Naspers still reliant on Tencent,https://www.moneyweb.co.za/news/companies-and-deals/prosus-and-naspers-still-reliant-on-tencent/
Naspers sees e-commerce revenue up 37%,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/naspers-sees-e-commerce-revenue-up-37/
Naspers is steeds op soek na oornames – groot en klein,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/naspers-is-steeds-op-soek-na-oornames-groot-en-klein/
Rand lifted by vaccine hopes; shrugs off downgrades,https://www.moneyweb.co.za/news/markets/rand-lifted-by-vaccine-hopes-shrugs-off-downgrades-2/
Prosus on the hunt for deals,https://www.moneyweb.co.za/news/tech/prosus-on-the-hunt-for-deals/
Approaching a Reg 28 fund differently pays off,https://www.moneyweb.co.za/moneyweb-radio/market-commentator-moneyweb-radio/what-by-elections-in-south-africa-say-about-the-ruling-party-2/
Naspers posts 4.2% drop in half-year Heps,https://www.moneyweb.co.za/news/companies-and-deals/naspers-posts-4-2-drop-in-half-year-profits/
The week that was in the listed space,https://www.moneyweb.co.za/news/companies-and-deals/the-week-that-was-in-the-listed-space/
SA stocks steady as Naspers gains,https://www.moneyweb.co.za/news-fast-news/sa-stocks-steady-as-naspers-gains/
Businesses pledge close to R110bn at Cyril’s third investment conference,https://www.moneyweb.co.za/news/companies-and-deals/businesses-pledge-close-to-r110bn-at-cyrils-third-investment-conference/
Tencent to invest in online education startup Udemy,https://www.moneyweb.co.za/news-fast-news/tencent-to-invest-in-online-education-startup-udemy/
Naspers invests R45 million in The Student Hub,https://www.moneyweb.co.za/news/companies-and-deals/naspers-invests-r45-million-in-the-student-hub/
