headline,link
Retailers gear up for Black Friday and investing in unicorns,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/retailers-gear-up-for-black-friday-and-investing-in-unicorns/
Pepkor se verkope styg te midde van die grendeltyd,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/pepkor-se-verkope-styg-te-midde-van-die-grendeltyd/
Pepkor reports estimated R5bn in lost revenue due to lockdown,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/pepkor-reports-estimated-r5bn-in-lost-revenue-due-to-lockdown/
Pepkor annual profit falls but market share grows,https://www.moneyweb.co.za/news/companies-and-deals/pepkor-annual-profit-falls-but-market-share-grows/
Pepkor chair Jayendra Naidoo to step down,https://www.moneyweb.co.za/news/companies-and-deals/pepkor-chair-jayendra-naidoo-to-step-down/
Retail rebounds and SA’s new airline ready for lift off,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/retail-rebounds-and-sas-new-airline-ready-for-lift-off/
SA stocks at three-month high,https://www.moneyweb.co.za/news/markets/sa-stocks-rise-as-biden-win-amps-up-risk-appetite/
"Stormy week on the JSE, Biden the winner and renting vs buying",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/stormy-week-on-the-jse-biden-the-winner-and-renting-vs-buying/
Mr Price’s expected earnings slide worsens,https://www.moneyweb.co.za/news/companies-and-deals/mr-prices-expected-earnings-slide-worsens/
Pepkor flags 20% drop in annual earnings,https://www.moneyweb.co.za/news/south-africa/pepkor-flags-20-drop-in-annual-earnings/
Big-brand Edgars acquisition puts Retailability in the limelight,https://www.moneyweb.co.za/news/companies-and-deals/big-brand-edgars-acquisition-puts-retailability-in-the-limelight/
How South African companies are battling the pandemic and recession,https://www.moneyweb.co.za/news/economy/how-south-african-companies-are-battling-the-pandemic-and-recession/
Steinhoff AGM marked by apathy and anger,https://www.moneyweb.co.za/news/companies-and-deals/steinhoff-agm-marked-by-apathy-and-anger/
"Ryk drink koffie met Leon Lourens – uitvoerende hoof, Pepkor",https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/ryk-drink-koffie-met-leon-lourens-uitvoerende-hoof-pepkor/
"Pick n Pay’s trading update, logistics property and Trump’s TikTok vendetta",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/pick-n-pays-trading-update-logistics-property-and-trumps-tiktok-vendetta/
