headline,link
Prosus to target online care startups for elderly after pandemic,https://www.moneyweb.co.za/news/international/prosus-to-target-online-care-startups-for-elderly-after-pandemic/
More evidence of the need for a fresh approach to corporate governance,https://www.moneyweb.co.za/news/companies-and-deals/more-evidence-of-the-need-for-a-fresh-approach-to-corporate-governance/
How to combat fear when investing and Prosus share buybacks,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/how-to-combat-fear-when-investing-and-prosus-share-buybacks/
Prosus and Naspers still reliant on Tencent,https://www.moneyweb.co.za/news/companies-and-deals/prosus-and-naspers-still-reliant-on-tencent/
Naspers sees e-commerce revenue up 37%,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/naspers-sees-e-commerce-revenue-up-37/
Naspers is steeds op soek na oornames – groot en klein,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/naspers-is-steeds-op-soek-na-oornames-groot-en-klein/
Prosus on the hunt for deals,https://www.moneyweb.co.za/news/tech/prosus-on-the-hunt-for-deals/
Approaching a Reg 28 fund differently pays off,https://www.moneyweb.co.za/moneyweb-radio/market-commentator-moneyweb-radio/what-by-elections-in-south-africa-say-about-the-ruling-party-2/
Naspers posts 4.2% drop in half-year Heps,https://www.moneyweb.co.za/news/companies-and-deals/naspers-posts-4-2-drop-in-half-year-profits/
The week that was in the listed space,https://www.moneyweb.co.za/news/companies-and-deals/the-week-that-was-in-the-listed-space/
"Gold stocks, China regulatory risks and La Niña conditions",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/gold-stocks-china-regulatory-risks-and-la-nina-conditions/
This year’s best and worst JSE stocks,https://www.moneyweb.co.za/investing/equities/this-years-best-and-worst-jse-stocks/
"Market volatility, Purple Group’s share conversion and Yoco’s recovery monitor",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/market-volatility-purple-groups-share-conversion-and-yocos-recovery-monitor/
Naspers’s insurance plan – Prosus,https://www.moneyweb.co.za/news/companies-and-deals/nasperss-insurance-plan-prosus/
"TFG update, Covid investment opportunities and the state of the residential rental market",https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/tfg-update-covid-investment-opportunities-and-the-state-of-the-residential-rental-market/
