headline,link
SA retail and wholesale confidence soars in fourth quarter,https://www.moneyweb.co.za/news/economy/sa-retail-and-wholesale-confidence-soars-in-fourth-quarter/
The week that was in the listed space,https://www.moneyweb.co.za/news/companies-and-deals/the-week-that-was-in-the-listed-space/
Christo Wiese lê die tuig neer as Shoprite se voorsitter,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/christo-wiese-le-die-tuig-neer-as-shoprite-se-voorsitter/
"After continental retreat, SA retailers strain for profits at home",https://www.moneyweb.co.za/news/companies-and-deals/after-continental-retreat-south-african-retailers-strain-for-profits-at-home/
Markets react to another vaccine announcement and a look at Tsogo Sun Hotels’s results,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/markets-react-to-another-vaccine-announcement-and-a-look-at-tsogo-sun-hotels-results/
Shoprite AGM: The 40th (and last) chaired by Wiese,https://www.moneyweb.co.za/news/companies-and-deals/shoprite-agm-the-40th-and-last-to-be-chaired-by-wiese/
Trump vs Biden continues and the latest on the Ant Group IPO,https://www.moneyweb.co.za/moneyweb-radio/moneyweb-now/trump-vs-biden-continues-and-the-latest-on-the-ant-group-ipo/
Redirect the focus of exec remuneration at banks and maybe save SA,https://www.moneyweb.co.za/news/companies-and-deals/redirect-the-focus-of-exec-remuneration-at-banks-and-maybe-save-sa/
Woolworths’ R750m ‘investment’ in lowering food prices – chicken too,https://www.moneyweb.co.za/news/companies-and-deals/woolworths-r750m-investment-in-lowering-food-prices-including-chicken/
Shoprite stores launch Xtra Savings card,https://www.moneyweb.co.za/moneyweb-radio/safm-market-update/shoprite-stores-launch-rewards-programme/
Shoprite-winkels begin ook met ‘n beloningsprogram,https://www.moneyweb.co.za/moneyweb-radio/rsg-geldsake/shoprite-winkels-begin-ook-met-n-beloningsprogram/
Absa chair Lucas-Bull joins Shoprite board as chair designate,https://www.moneyweb.co.za/news/companies-and-deals/absa-chairwoman-lucas-bull-joins-shoprite-board/
SA stocks pause after five-day losing streak,https://www.moneyweb.co.za/news-fast-news/stocks-pause-after-5-day-losing-streak/
Corporate report card: Dismal and commendable efforts,https://www.moneyweb.co.za/news/companies-and-deals/no-ones-hero-but-still-a-wealthy-man/
How South African companies are battling the pandemic and recession,https://www.moneyweb.co.za/news/economy/how-south-african-companies-are-battling-the-pandemic-and-recession/
