sens_title,Date,text
SBT208,26 Nov 2020,"New Listing Notification - SBT208

Standard Bank Group Limited

Stock Code: SBT208
ISIN Code: ZAG000172651




The JSE Limited has granted a listing to STANDARD BANK GROUP LIMITED on Interest Rate Market with
effect from 27 Nov 2020.



INSTRUMENT TYPE:                    FLOATING RATE NOTE



Bond Code                           SBT208

Nominal Issued                      R 1,500,000,000

Issue Price                         100%

Coupon                              5.95% (3 Month JIBAR as at 24 Nov 2020 of 3.350% plus 260
                                    bps)

Coupon Rate Indicator               Floating

Trade Type                          Price

Final Maturity Date                 28 November 2030

Books Close Date                    18 February, 18 May, 18 August, 18 November

Interest Payment Date(s)            28 February, 28 May, 28 August, 28 November

Last Day to Register                By 17:00 on 17 February, 17 May, 17 August, 17 November

Issue Date                          27 November 2020

Date Convention                     Following

Interest Commencement Date          27 November 2020

First Interest Payment Date         28 February 2021

Call Date                           28 November 2025 (Optional)
ISIN No.                           ZAG000172651

Additional Information             Unsecured, Tier 2 under SBG DMTN



https://www.jse.co.za/content/JSEPricingSupplementsItems/2020/SBT208%20PricingSupplement2711.p
                                       df

Dated 26 November 2020


Debt Sponsor: Standard Bank

Date: 26-11-2020 01:00:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Standard Bank Group Rating Action By Moody’s Investor Services,26 Nov 2020,"Standard Bank Group Rating Action By Moody’s Investor Services

Standard Bank Group Limited
(Registration Number 1969/017128/06)
Issuer Code: SBT1, SBT2
(“the Group”)

The Standard Bank of South Africa Limited
(Registration number 1962/000738/06)
JSE bond codes: SBS, SBK, SBN, SBR, ETN series
(“the Bank”)


STANDARD BANK GROUP AND THE STANDARD BANK OF SOUTH AFRICA LIMITED
RATING ACTION BY MOODY’S INVESTOR SERVICES

In accordance with paragraph 6.8 of the JSE Debt Listings
Requirements, noteholders are hereby advised that on 24 November
2020, Moody’s Investors Service (“Moody’s) downgraded the long-term
issuer rating of the holding company, Standard Bank Group Limited
(“SBG”) from Ba2 to Ba3. The rating agency also downgraded The
Standard Bank of South Africa Limited’s (“SBSA”) long-term local and
foreign currency deposit ratings from Ba1 To Ba2 and affirmed the
NSR long-term bank deposit rating. The outlook remains negative.

Moody’s rating downgrade of SBG and SBSA follows their decision to
downgrade the ratings of the Government of South Africa on 20
November 2020, to Ba2 from Ba1 and maintain the negative outlook.

The downgrade by Moody’s, in itself, is not expected to have a
material impact on SBG’s and SBSA’s risk weighted assets (RWA) and
capital adequacy. The group remains well capitalised and liquid.

Further details on the rating action can be viewed on the following
link:

https://www.moodys.com/viewresearchdoc.aspx?docid=PBC_ARFTL436573


Johannesburg
26 November 2020

Debt Sponsor
The Standard Bank of South Africa Limited
jsesponsor@standardbank.co.za

Date: 26-11-2020 10:52:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
The Standard Bank Of South Africa Limited Rating Action By Moody’s Investor Services,26 Nov 2020,"The Standard Bank Of South Africa Limited Rating Action By Moody’s Investor Services

Standard Bank Group Limited
(Registration Number 1969/017128/06)
Issuer Code: SBT1, SBT2
(“the Group”)

The Standard Bank of South Africa Limited
(Registration number 1962/000738/06)
JSE bond codes: SBS, SBK, SBN, SBR, ETN series
(“the Bank”)


STANDARD BANK GROUP AND THE STANDARD BANK OF SOUTH AFRICA LIMITED
RATING ACTION BY MOODY’S INVESTOR SERVICES

In accordance with paragraph 6.8 of the JSE Debt Listings
Requirements, noteholders are hereby advised that on 24 November
2020, Moody’s Investors Service (“Moody’s) downgraded the long-term
issuer rating of the holding company, Standard Bank Group Limited
(“SBG”) from Ba2 to Ba3. The rating agency also downgraded The
Standard Bank of South Africa Limited’s (“SBSA”) long-term local and
foreign currency deposit ratings from Ba1 To Ba2 and affirmed the
NSR long-term bank deposit rating. The outlook remains negative.

Moody’s rating downgrade of SBG and SBSA follows their decision to
downgrade the ratings of the Government of South Africa on 20
November 2020, to Ba2 from Ba1 and maintain the negative outlook.

The downgrade by Moody’s, in itself, is not expected to have a
material impact on SBG’s and SBSA’s risk weighted assets (RWA) and
capital adequacy. The group remains well capitalised and liquid.

Further details on the rating action can be viewed on the following
link:

https://www.moodys.com/viewresearchdoc.aspx?docid=PBC_ARFTL436573


Johannesburg
26 November 2020

Debt Sponsor
The Standard Bank of South Africa Limited
jsesponsor@standardbank.co.za

Date: 26-11-2020 10:48:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Debt Officer for Standard Bank Namibia Limited,26 Nov 2020,"Debt Officer for Standard Bank Namibia Limited

Standard Bank Namibia Limited
Incorporated in the Republic of Namibia
Registration number: 78/01799
(“The Company”)
Issuer code: SBN01 ISIN no.: ZAG000152927

Debt Officer for Standard Bank Namibia Limited


Noteholders are advised that Standard Bank Namibia Limited is in the process of appointing a Debt
Officer as required by 7.3 (g) of the revised Debt Listing Requirements of the JSE.

The required board approval for this appointment is expected during November 2020. The Company will
appoint a Debt Officer upon approval by the board by no later than 30 November 2020.

Johannesburg
25 November 2020

Debt Sponsor
The Standard Bank of South Africa Limited

Date: 26-11-2020 07:10:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
“SSN044”,11 Nov 2020,"Financial Instrument Partial De-Listing Announcement - “SSN044”

The Standard Bank of South Africa Limited
Financial Instrument Partial De-Listing Announcement - “SSN044”

Stock Code: SSN044
ISIN Code: ZAG000142134

SSN044 issued by The Standard Bank of South Africa Limited has
been   partially   de-listed   in   the   aggregate   amount   of
ZAR114,400,000 by the JSE Limited effective 13 November 2020. The
partial de-listing of the Note is due to the fact that Standard
Bank, as the issuer thereof, repurchased the Notes in amounts
of:

  (i)   ZAR200,000; and

  (ii) ZAR114,200,000

(the “Redeemed Portions”) and owns the Redeemed Portions.

The remaining Aggregate Nominal Amount of SSN044 in issue is
ZAR27,100,000. The “pay date” (as such term is defined in the
Debt Listings Requirements) was respectively 05 October 2020 and
06 November 2020.


Dated 11 November 2020
Sponsor – The Standard Bank of South Africa Limited
For further information on this Note please contact:
Johann Erasmus           SBSA (Sponsor)
Email: johann.erasmus@standardbank.co.za

Date: 11-11-2020 04:17:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
CLN727,10 Nov 2020,"New Financial Instrument Listing Announcement - CLN727

The Standard Bank of South Africa Limited

New Financial Instrument Listing Announcement - “CLN727”

Stock Code: CLN727
ISIN Code: ZAG000172529

The JSE Limited has granted a listing to The Standard Bank of
South Africa Limited – CLN727 Senior Unsecured Floating Rate
Credit Linked Notes due 21 December 2025 - sponsored by The
Standard Bank of South Africa Limited (acting through its
Corporate and Investment Banking Division), under its Structured
Note Programme.

Authorised Programme size           ZAR60,000,000,000
Total notes issued
(including current issue)           ZAR48,395,452,015.65
Full Note details are as follows:
Issue Date:                         11 November 2020
Nominal Issued:                     ZAR40,000,000
Coupon Rate:                        Three-month ZAR-JIBAR-SAFEX
                                    plus 1.71%, as per the
                                    Applicable          Pricing
                                    Supplement
Coupon Indicator:                   Floating

Interest Determination Dates:       Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year, commencing on
                                    the Issue Date until the
                                    Maturity Date
Trade Type:                         Price
Issue Price:                        100%
Maturity Date:                      21 December 2025
Interest Commencement Date:         Issue Date
First Interest Payment Date:        21 December 2020
Interest Payment Dates:             Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year until the
                                    Maturity Date
Business Day Count/Convention:      Actual/365    (fixed)    and
                                    Following Business Day
Books Close:                        Each   16 March,    16 June,
                                    16 September and 16 December
                                    of each year, until the
                                    applicable Interest Payment
                                    Date
Last day to register:               17h00 on 15 March, 15 June,
                                    15 September and 15 December
                                    of each year, until the
                                   Maturity Date, or if such
                                   day is not a Business Day,
                                   the Business Day before each
                                   books closed period
Placement Agent:                   The Standard Bank of South
                                   Africa Limited
Debt Security subject
to guarantee; security
or credit enhancement:             Not Applicable

Additional Terms and Conditions: Investors should study the
Pricing Supplement for full details of the specific terms and
conditions applicable to this specific issuance.

Notes will be deposited in the Central Depository (“CSD”) and
settlement will take place electronically in terms of JSE Rules.

Dated 10 November 2020
Sponsor – The Standard Bank of South Africa Limited
For further information on the Notes issued please contact:
Johann Erasmus           SBSA (Sponsor)
Email: johann.erasmus@standardbank.co.za

Date: 10-11-2020 11:15:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
“CLN728”,10 Nov 2020,"New Financial Instrument Listing Announcement - “CLN728”

The Standard Bank of South Africa Limited

New Financial Instrument Listing Announcement - “CLN728”

Stock Code: CLN728
ISIN Code: ZAG000172545

The JSE Limited has granted a listing to The Standard Bank of
South Africa Limited – CLN728 Senior Unsecured Floating Rate
Credit Linked Notes due 21 December 2026 - sponsored by The
Standard Bank of South Africa Limited (acting through its
Corporate and Investment Banking Division), under its Structured
Note Programme.

Authorised Programme size           ZAR60,000,000,000
Total notes issued
(including current issue)           ZAR48,537,171,143.65
Full Note details are as follows:
Issue Date:                         11 November 2020
Nominal Issued:                     ZAR40,000,000
Coupon Rate:                        Three-month ZAR-JIBAR-SAFEX
                                    plus 1.71%, as per the
                                    Applicable          Pricing
                                    Supplement
Coupon Indicator:                   Floating

Interest Determination Dates:       Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year, commencing on
                                    the Issue Date until the
                                    Maturity Date
Trade Type:                         Price
Issue Price:                        100%
Maturity Date:                      21 December 2026
Interest Commencement Date:         Issue Date
First Interest Payment Date:        21 December 2020
Interest Payment Dates:             Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year until the
                                    Maturity Date
Business Day Count/Convention:      Actual/365    (fixed)    and
                                    Following Business Day
Books Close:                        Each   16 March,    16 June,
                                    16 September and 16 December
                                    of each year, until the
                                    applicable Interest Payment
                                    Date
Last day to register:               17h00 on 15 March, 15 June,
                                    15 September and 15 December
                                    of each year, until the
                                    Maturity Date, or if such
                                   day is not a Business Day,
                                   the Business Day before each
                                   books closed period
Placement Agent:                   The Standard Bank of South
                                   Africa Limited
Debt Security subject
to guarantee; security
or credit enhancement:             Not Applicable

Additional Terms and Conditions: Investors should study the
Pricing Supplement for full details of the specific terms and
conditions applicable to this specific issuance.

Notes will be deposited in the Central Depository (“CSD”) and
settlement will take place electronically in terms of JSE Rules.

Dated 10 November 2020

Sponsor – The Standard Bank of South Africa Limited
For further information on the Notes issued please contact:
Johann Erasmus           SBSA (Sponsor)
Email: johann.erasmus@standardbank.co.za

Date: 10-11-2020 10:38:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
“CLN729”,10 Nov 2020,"New Financial Instrument Listing Announcement - “CLN729”

The Standard Bank of South Africa Limited

New Financial Instrument Listing Announcement - “CLN729”

Stock Code: CLN729
ISIN Code: ZAG000172503

The JSE Limited has granted a listing to The Standard Bank of
South Africa Limited – CLN729 Senior Unsecured Floating Rate
Credit Linked Notes due 21 December 2027 - sponsored by The
Standard Bank of South Africa Limited (acting through its
Corporate and Investment Banking Division), under its Structured
Note Programme.

Authorised Programme size           ZAR60,000,000,000
Total notes issued
(including current issue)           ZAR48,577,171,143.65
Full Note details are as follows:
Issue Date:                         11 November 2020
Nominal Issued:                     ZAR40,000,000
Coupon Rate:                        Three-month ZAR-JIBAR-SAFEX
                                    plus 1.71%, as per the
                                    Applicable           Pricing
                                    Supplement
Coupon Indicator:                   Floating
Interest Determination Dates:       Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year, commencing on
                                    the Issue Date until the
                                    Maturity Date
Trade Type:                         Price
Issue Price:                        100%
Maturity Date:                      21 December 2027
Interest Commencement Date:         Issue Date
First Interest Payment Date:        21 December 2020
Interest Payment Dates:             Each   21 March,    21 June,
                                    21 September and 21 December
                                    of each year until the
                                    Maturity Date
Business Day Count/Convention:      Actual/365    (fixed)    and
                                    Following Business Day
Books Close:                        Each   16 March,    16 June,
                                    16 September and 16 December
                                    of each year, until the
                                    applicable Interest Payment
                                    Date
Last day to register:               17h00 on 15 March, 15 June,
                                    15 September and 15 December
                                    of each year, until the
                                    Maturity Date, or if such
                                    day is not a Business Day,
                                   the Business Day before each
                                   books closed period
Placement Agent:                   The Standard Bank of South
                                   Africa Limited
Debt Security subject
to guarantee; security
or credit enhancement:             Not Applicable

Additional Terms and Conditions: Investors should study the
Pricing Supplement for full details of the specific terms and
conditions applicable to this specific issuance.

Notes will be deposited in the Central Depository (“CSD”) and
settlement will take place electronically in terms of JSE Rules.

Dated 10 November 2020
Sponsor – The Standard Bank of South Africa Limited
For further information on the Notes issued please contact:
Johann Erasmus           SBSA (Sponsor)
Email: johann.erasmus@standardbank.co.za

Date: 10-11-2020 10:30:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Notification of changes to inward listings requirements pursuant to Exchange Control Circular No.15/2020,5 Nov 2020,"Notification of changes to inward listings requirements pursuant to Exchange Control Circular No.15/2020

The Standard Bank of South Africa Limited
Incorporated in the Republic of South Africa
(Registration number 1962/000738/06) (Parent code BISTDB)
(“the Issuer”)

Notification of changes to inward listings requirements pursuant
to Exchange Control Circular No.15/2020


We   refer  to   Exchange  Control   Circular  No.15/2020   dated
29 October 2020 (available on the South African Reserve Bank’s
website at https://www.resbank.co.za/RegulationAndSupervision/Fi
nancialSurveillanceAndExchangeControl/Pages/Exchange-Control-
Circulars.aspx) and the instruments set out hereunder issued
under   the  Issuer’s   relevant   Structured  Note   Programmes.
Following the Minister of Finance’s announcement in the 2020
Medium Term Budget Policy Statement, investors are advised that
all the remaining foreign classified debt and derivative
instruments as well as exchange traded funds referencing foreign
assets, that are inward listed on the Johannesburg Stock
Exchange, traded and settled in Rand, have been reclassified as
domestic with effect from 30 October 2020.


Note ID   ISIN

CLN315    ZAG000103615

CLN317    ZAG000103805

CLN345    ZAG000109950

CLN362    ZAG000112194

CLN365    ZAG000112319

CLN366    ZAG000112376

CLN370    ZAG000113721

CLN371    ZAG000114083

CLN380    ZAG000117425

CLN384    ZAG000118076

CLN385    ZAG000118084

CLN387    ZAG000118381

CLN419    ZAG000129974

CLN420   ZAG000129982

CLN421   ZAG000129990

CLN422   ZAG000130006

CLN423   ZAG000130014

CLN424   ZAG000130022

CLN425   ZAG000130055

CLN426   ZAG000130089

CLN429   ZAG000130832

CLN430   ZAG000131020

CLN431   ZAG000131269

CLN432   ZAG000131277

CLN433   ZAG000131285

CLN434   ZAG000131426

CLN436   ZAG000132002

CLN437   ZAG000132168

CLN440   ZAG000133570

CLN456   ZAG000140252

CLN493   ZAG000146119

CLN507   ZAG000148032

CLN511   ZAG000148917

CLN540   ZAG000154022

CLN541   ZAG000154402

CLN542   ZAG000154436

CLN545   ZAG000155425

CLN553   ZAG000156217

CLN554   ZAG000156225

CLN555   ZAG000156316

CLN559   ZAG000156878

CLN560   ZAG000156985

CLN566   ZAG000157710

CLN576   ZAG000158320

CLN577   ZAG000158437

CLN582   ZAG000159708

CLN583   ZAG000159690

CLN586   ZAG000159997

CLN590   ZAG000160466

CLN606   ZAG000161894

CLN607   ZAG000161969

CLN611   ZAG000162421

CLN616   ZAG000163163

CLN617   ZAG000163296

CLN618   ZAG000163627

CLN623   ZAG000163981

CLN655   ZAG000167230

CLN656   ZAG000167131

CLN657   ZAG000167149

CLN659   ZAG000167412

CLN660   ZAG000167404

CLN661   ZAG000167396

CLN662   ZAG000167461

CLN663   ZAG000167453

CLN664   ZAG000167446

CLN668   ZAG000167834

ELN001   ZAG000160086

ELN002   ZAG000160144

ELN003   ZAG000162702

ELN004   ZAG000162710

ELN006   ZAG000168550

ELN007   ZAG000168790

ELN008   ZAG000168840

ELN009   ZAG000169822

ELN010   ZAG000170291

ELN011   ZAG000172016

Dated 05 November 2020

Debt Sponsor – The Standard Bank of South Africa Limited

For further information please contact:
Johann Erasmus           SBSA (Debt Sponsor)
Email: johann.erasmus@standardbank.co.za

Date: 05-11-2020 02:24:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
Notification of Interest Payments Standard Bank Group SBKI and The Standard Bank of South Africa Limited BISTDB,4 Nov 2020,"Notification of Interest Payments Standard Bank Group SBKI and The Standard Bank of South Africa Limited BISTDB

Standard Bank Group Limited
(Registration Number 1969/017128/06)
Issuer Code: SBKI
(“the Group”)

The Standard Bank of South Africa Limited
(Registration number 1962/000738/06)
Issuer code: BISTDB
(“the Bank”)


Notification of Interest Payments Standard Bank Group and The Standard Bank of South
Africa Limited


In accordance with paragraph 4.11(b) of the JSE Debt Listings Requirements, noteholders are
hereby advised of the interest amount details as follows:

  Instrument                        Interest Payment   Interest Rate    Total Interest Amount
                      ISIN
     Code                                 Date               %             Payable (ZAR)

    SSN047        ZAG000143314         05/10/2020                                    4 037 009.32
                                                                5.78
    SSN078        ZAG000152380         13/10/2020                                    1 463 178.08
                                                                5.81
    SSN041        ZAG000140005         13/10/2020               9.80                 6 544 670.14

    SSN040        ZAG000139999         13/10/2020                                    3 804 893.15
                                                                5.68
    SS039U        ZAG000149295         19/10/2020                                  27 225 205.48
                                                                5.46
    SSN052        ZAG000147794         26/10/2020                                  12 768 955.45
                                                                4.96
                                                                   -
    SSN052        ZAG000147794         26/10/2020                                2 066 000 000.00

    SSN054        ZAG000147810         26/10/2020                                    2 771 386.30
                                                                5.56
    SSN055        ZAG000147992         03/11/2020             5.3750                 4 064 383.56
    SSN083        ZAG000155110         05/11/2020             5.5170                 4 171 758.90
    SSN044        ZAG000142134         09/11/2020             5.5000                 1 918 972.60
                                                                   -
    SSN035        ZAG000131475         17/11/2020                                 500 000 000.00

    SSN035        ZAG000131475         17/11/2020             5.4420                 6 858 410.96
    SSN081        ZAG000153636         27/11/2020             5.5120                  833 595.62
    SSN070        ZAG000151614         30/11/2020             4.9920                 3 856 832.88
    SSN068        ZAG000151622         30/11/2020             5.3720                 1 383 473.97
    SSN069        ZAG000151630         30/11/2020             5.2620                 1 355 145.21
    SBK18         ZAG000143604         26/10/2020           6,10800                53 884 273,97
    SBK24         ZAG000143605         19/10/2020           7,30000                16 016 000,00
    SBK25         ZAG000143606         26/10/2020           7,75800                23 210 235,62


Instrument                     Interest Payment   Interest Rate   Total Interest Amount
                 ISIN
   Code                               Date                   %            Payable (ZAR)
  SBK26      ZAG000143607          26/10/2020         12,25000             30 625 000,00
 SBS49       ZAG000143608         30/10/2020           5,21800            19 175 649,64
 SBS52       ZAG000143609         29/10/2020           5,75000            33 769 041,10
 SBS53       ZAG000143610         03/11/2020           5,60000            33 946 739,73
 SBS59       ZAG000143611         09/10/2020           5,02500             5 522 268,49
 SBS60       ZAG000143612         19/10/2020           5,36000            20 044 931,51
 SBS62       ZAG000143613         30/10/2020           5,00800            12 560 612,82
 SBS63       ZAG000143614         30/10/2020           5,10800            12 862 363,84
 SBS64       ZAG000143615         30/10/2020           5,34800            13 266 703,01
 SBK18       ZAG000100827         26/10/2020           6,10800         3 500 000 000,00
 SBK24       ZAG000130584         19/10/2020           7,30000           880 000 000,00
 SBS59       ZAG000147182         09/10/2020           5,02500           436 000 000,00
 CLN055       ZAG000029968        19/10/2020           0,25000               155 821.92
 SSN060       ZAG000149972        05/10/2020           4,88000               121 740.55
 CLN500       ZAG000147422        12/10/2020           5,63000           152 170 150,68
 CLN505       ZAG000147752        26/10/2020           5,36000             4 216 865.75
 CLN501       ZAG000147489        12/10/2020           6,23000               155 198.63
 CLN502       ZAG000147497        12/10/2020           6,58000             1 393 359.59
 CLN504       ZAG000147711        12/10/2020           6,58000               524 558.90
 CLN510       ZAG000148891        12/10/2020           6,08000               605 835.62
 CLN545       ZAG000155425        19/10/2020           6,84000             1 762 049.32
 CLN540       ZAG000154022        19/10/2020           6,99000             1 080 407.67
 CLN534       ZAG000152695        19/10/2020           6,10000               988 534.25
 CLN536       ZAG000152711        19/10/2020           5,93000               443 531.51
 CLN525       ZAG000151010        26/10/2020           5,51000               751 804.27
 CLN537       ZAG000153420        26/10/2020           5,71000             4 455 696.08
 CLN387       ZAG000118381        26/10/2020           6,76000               168 487.12
 CLN526       ZAG000151085        26/10/2020           5,86000               657 219.45
 CLN559       ZAG000156878        19/10/2020           7,74000               797 532.05
 CLN566       ZAG000157710        19/10/2020           7,99000             1 029 106.85
 CLN517       ZAG000149865        30/10/2020          10,01000             4 516 841.10
 CLN578       ZAG000158635        19/10/2020           5,85000               437 547.95
 CLN579       ZAG000159104        02/10/2020           6,23000               439 896.11
 CLN584       ZAG000159666        19/10/2020           5,30000             1 585 643.84
  CLN598      ZAG000158205         02/10/2020           5,88000             1 601 465.42



Instrument                     Interest Payment   Interest Rate   Total Interest Amount
                        ISIN
   Code                               Date                   %            Payable (ZAR)
     CLN606      ZAG000161894         14/10/2020          7,25000      1 096 438.36
     CLN607       ZAG000161969        19/10/2020          6,09000        470 669.59
     CLN610       ZAG000162231        23/10/2020          5,48000      8 290 586.30
     CLN611       ZAG000162421        14/10/2020          7,20000      1 814 794.52
    CLN620         ZAG000163924       28/10/2020          5,36000     405 455.34
    CLN621         ZAG000163932       28/10/2020          5,34000    2 154 362.74
    CLN622         ZAG000163957       28/10/2020          4,94000     311 413.70
    CLN609         ZAG000162223       30/10/2020          9,32000    4 672 767.11
    CLN624         ZAG000164104       26/10/2020          5,81000    2 172 032.88
    CLN421         ZAG000164369       26/10/2020          9,20000     802 620.00
    CLN643         ZAG000164351       19/10/2020          5,37000     691 736.99
    CLN646         ZAG000164351       29/10/2020          5,70000     603 419.18
    CL572U         ZAG000166505       29/10/2020          5,95000    7 498 630.14
    CLN081         ZAG000035031       19/10/2020          8,12000    8 097 753.42
    CLN370         ZAG000164369       26/10/2020          6,21000    1 547 747.95
    CLN633         ZAG000164369       09/10/2020          7,52000     966 680.55
    CLN657         ZAG000167149       13/10/2020          8,08000    1 017 671.23
    CLN666         ZAG000167719       02/10/2020          7,03000    3 453 222.27
    CLN081         ZAG000035031       07/10/2020          6,88000     346 575.34
    SBT204         ZAG000158684       06/10/2020             6,25   15 753 424,66
    SBT206         ZAG000165754       20/10/2020            5,808   28 960 438,36



Johannesburg

4 November 2020

Debt Sponsor: The Standard Bank of South Africa Limited

jsesponsor@standardbank.co.za

Date: 04-11-2020 12:55:00
Produced by the JSE SENS Department. The SENS service is an information dissemination service administered by the JSE Limited ('JSE'). 
The JSE does not, whether expressly, tacitly or implicitly, represent, warrant or in any way guarantee the truth, accuracy or completeness of
 the information published on SENS. The JSE, their officers, employees and agents accept no liability for (or in respect of) any direct, 
indirect, incidental or consequential loss or damage of any kind or nature, howsoever arising, from the use of SENS or the use of, or reliance on,
 information disseminated through SENS."
